# model_type: yolo26-nano
timestamp,frame_id,fps,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783500413.678,1,9.7,0.73,-0.028,-0.348,-0.047,+0.001,-0.383,-0.037,-0.063,-0.376,-0.037,+0.042,-0.381,+0.070,-0.099,-0.349,-0.030,+0.108,-0.196,+0.130,-0.194,-0.209,+0.055,+0.204,-0.028,+0.066,-0.263,-0.054,-0.016,+0.254,-0.003,-0.010,-0.228,-0.024,-0.052,+0.084,+0.007,+0.021,-0.084,-0.007,-0.021,+0.127,+0.019,+0.100,-0.049,-0.022,-0.013,+0.162,+0.032,+0.091,-0.044,-0.009,-0.022
1783500413.772,2,10.8,0.73,-0.028,-0.348,-0.047,+0.001,-0.383,-0.036,-0.063,-0.376,-0.036,+0.043,-0.381,+0.068,-0.100,-0.349,-0.027,+0.109,-0.196,+0.131,-0.194,-0.209,+0.056,+0.204,-0.028,+0.066,-0.263,-0.053,-0.015,+0.253,-0.003,-0.009,-0.228,-0.023,-0.050,+0.084,+0.008,+0.021,-0.084,-0.008,-0.021,+0.126,+0.019,+0.101,-0.050,-0.022,-0.012,+0.161,+0.033,+0.094,-0.045,-0.008,-0.022
1783500413.906,3,8.1,0.73,-0.028,-0.348,-0.047,+0.001,-0.383,-0.036,-0.063,-0.376,-0.036,+0.044,-0.379,+0.058,-0.100,-0.349,-0.026,+0.109,-0.195,+0.131,-0.194,-0.208,+0.056,+0.204,-0.028,+0.066,-0.263,-0.053,-0.015,+0.254,-0.003,-0.009,-0.228,-0.023,-0.050,+0.083,+0.008,+0.022,-0.083,-0.008,-0.022,+0.127,+0.019,+0.101,-0.050,-0.021,-0.012,+0.162,+0.034,+0.094,-0.044,-0.009,-0.024
1783500414.046,4,8.3,0.73,-0.028,-0.347,-0.047,+0.001,-0.383,-0.035,-0.063,-0.376,-0.035,+0.044,-0.379,+0.058,-0.099,-0.349,-0.026,+0.109,-0.195,+0.131,-0.195,-0.208,+0.056,+0.205,-0.028,+0.067,-0.263,-0.053,-0.014,+0.254,-0.003,-0.007,-0.228,-0.023,-0.049,+0.083,+0.008,+0.022,-0.083,-0.008,-0.022,+0.127,+0.019,+0.102,-0.049,-0.022,-0.013,+0.163,+0.034,+0.095,-0.043,-0.009,-0.024
1783500414.086,5,10.5,0.73,-0.028,-0.348,-0.047,+0.001,-0.383,-0.036,-0.063,-0.376,-0.035,+0.045,-0.378,+0.055,-0.098,-0.349,-0.027,+0.109,-0.195,+0.131,-0.194,-0.208,+0.056,+0.205,-0.028,+0.066,-0.263,-0.053,-0.013,+0.254,-0.003,-0.007,-0.227,-0.023,-0.049,+0.083,+0.008,+0.023,-0.083,-0.008,-0.023,+0.127,+0.019,+0.102,-0.048,-0.022,-0.013,+0.164,+0.035,+0.097,-0.043,-0.010,-0.025
1783500414.117,6,38.3,0.73,-0.028,-0.348,-0.047,+0.001,-0.383,-0.036,-0.063,-0.376,-0.035,+0.045,-0.378,+0.055,-0.098,-0.348,-0.028,+0.109,-0.195,+0.131,-0.193,-0.208,+0.056,+0.205,-0.028,+0.065,-0.262,-0.054,-0.013,+0.256,-0.003,-0.007,-0.227,-0.023,-0.049,+0.083,+0.008,+0.023,-0.083,-0.008,-0.023,+0.127,+0.020,+0.103,-0.048,-0.022,-0.013,+0.164,+0.035,+0.098,-0.043,-0.010,-0.025
1783500414.156,7,26.6,0.73,-0.028,-0.348,-0.047,+0.002,-0.383,-0.036,-0.063,-0.376,-0.035,+0.045,-0.379,+0.056,-0.097,-0.348,-0.030,+0.110,-0.196,+0.131,-0.193,-0.209,+0.054,+0.205,-0.028,+0.064,-0.261,-0.053,-0.013,+0.256,-0.003,-0.007,-0.227,-0.023,-0.050,+0.083,+0.008,+0.022,-0.083,-0.008,-0.022,+0.128,+0.020,+0.103,-0.048,-0.022,-0.014,+0.165,+0.035,+0.098,-0.043,-0.010,-0.024
1783500414.186,8,32.4,0.73,-0.028,-0.348,-0.047,+0.002,-0.384,-0.036,-0.062,-0.376,-0.036,+0.044,-0.381,+0.064,-0.096,-0.348,-0.031,+0.110,-0.196,+0.129,-0.192,-0.209,+0.053,+0.205,-0.029,+0.062,-0.261,-0.053,-0.012,+0.256,-0.002,-0.006,-0.227,-0.023,-0.051,+0.083,+0.008,+0.022,-0.083,-0.008,-0.022,+0.128,+0.020,+0.103,-0.048,-0.023,-0.015,+0.165,+0.036,+0.100,-0.044,-0.009,-0.023
1783500414.237,9,26.8,0.73,-0.027,-0.348,-0.046,+0.002,-0.384,-0.035,-0.062,-0.376,-0.035,+0.045,-0.380,+0.063,-0.095,-0.347,-0.031,+0.110,-0.196,+0.129,-0.192,-0.209,+0.054,+0.205,-0.029,+0.063,-0.260,-0.053,-0.011,+0.256,-0.003,-0.007,-0.227,-0.023,-0.050,+0.084,+0.007,+0.021,-0.084,-0.007,-0.021,+0.129,+0.020,+0.103,-0.047,-0.022,-0.014,+0.165,+0.035,+0.099,-0.044,-0.008,-0.021
1783500414.279,10,18.5,0.73,-0.027,-0.348,-0.047,+0.002,-0.384,-0.036,-0.062,-0.376,-0.035,+0.044,-0.380,+0.063,-0.095,-0.347,-0.032,+0.110,-0.196,+0.127,-0.192,-0.209,+0.054,+0.206,-0.029,+0.063,-0.260,-0.053,-0.013,+0.256,-0.003,-0.007,-0.228,-0.024,-0.051,+0.084,+0.007,+0.021,-0.084,-0.007,-0.021,+0.129,+0.020,+0.102,-0.047,-0.022,-0.014,+0.165,+0.034,+0.096,-0.044,-0.008,-0.021
1783500414.317,11,28.7,0.73,-0.027,-0.348,-0.047,+0.002,-0.384,-0.036,-0.062,-0.376,-0.036,+0.044,-0.380,+0.063,-0.095,-0.347,-0.032,+0.110,-0.196,+0.125,-0.193,-0.209,+0.054,+0.206,-0.029,+0.064,-0.259,-0.053,-0.015,+0.256,-0.002,-0.007,-0.229,-0.024,-0.052,+0.084,+0.007,+0.021,-0.084,-0.007,-0.021,+0.129,+0.019,+0.101,-0.047,-0.022,-0.014,+0.165,+0.033,+0.093,-0.045,-0.008,-0.021
1783500414.383,12,20.6,0.73,-0.028,-0.348,-0.047,+0.002,-0.384,-0.036,-0.062,-0.376,-0.036,+0.043,-0.379,+0.062,-0.095,-0.347,-0.034,+0.109,-0.196,+0.124,-0.193,-0.209,+0.054,+0.206,-0.029,+0.065,-0.259,-0.053,-0.016,+0.256,-0.002,-0.007,-0.229,-0.024,-0.053,+0.084,+0.007,+0.021,-0.084,-0.007,-0.021,+0.129,+0.019,+0.100,-0.048,-0.022,-0.014,+0.165,+0.032,+0.090,-0.044,-0.008,-0.022
1783500414.449,13,16.8,0.73,-0.028,-0.348,-0.047,+0.001,-0.384,-0.036,-0.063,-0.376,-0.036,+0.043,-0.379,+0.063,-0.096,-0.347,-0.034,+0.108,-0.196,+0.125,-0.194,-0.209,+0.054,+0.207,-0.029,+0.067,-0.259,-0.054,-0.016,+0.257,-0.002,-0.007,-0.229,-0.024,-0.052,+0.084,+0.008,+0.022,-0.084,-0.008,-0.022,+0.129,+0.019,+0.100,-0.047,-0.022,-0.013,+0.165,+0.031,+0.088,-0.044,-0.009,-0.022
1783500414.491,14,14.6,0.74,-0.029,-0.348,-0.048,+0.000,-0.384,-0.037,-0.064,-0.376,-0.037,+0.042,-0.380,+0.063,-0.097,-0.348,-0.034,+0.107,-0.197,+0.125,-0.195,-0.209,+0.054,+0.205,-0.031,+0.066,-0.260,-0.054,-0.018,+0.258,-0.003,-0.008,-0.229,-0.024,-0.053,+0.084,+0.008,+0.023,-0.084,-0.008,-0.023,+0.127,+0.019,+0.099,-0.050,-0.022,-0.014,+0.165,+0.031,+0.086,-0.045,-0.009,-0.024
1783500414.530,15,34.9,0.73,-0.029,-0.348,-0.048,+0.000,-0.384,-0.037,-0.064,-0.376,-0.037,+0.042,-0.379,+0.063,-0.098,-0.348,-0.033,+0.106,-0.198,+0.127,-0.195,-0.210,+0.054,+0.205,-0.034,+0.066,-0.261,-0.055,-0.017,+0.258,-0.003,-0.007,-0.228,-0.023,-0.052,+0.083,+0.008,+0.023,-0.083,-0.008,-0.023,+0.126,+0.018,+0.099,-0.050,-0.022,-0.015,+0.163,+0.032,+0.091,-0.046,-0.009,-0.023
1783500414.637,16,14.2,0.74,-0.030,-0.349,-0.048,-0.001,-0.384,-0.037,-0.066,-0.376,-0.037,+0.040,-0.380,+0.065,-0.100,-0.348,-0.033,+0.103,-0.201,+0.130,-0.196,-0.210,+0.053,+0.204,-0.042,+0.067,-0.263,-0.055,-0.016,+0.308,+0.065,+0.183,-0.230,-0.023,-0.052,+0.083,+0.008,+0.023,-0.083,-0.008,-0.023,+0.124,+0.018,+0.100,-0.052,-0.022,-0.015,+0.160,+0.034,+0.094,-0.049,-0.009,-0.022
1783500414.716,17,8.3,0.74,-0.032,-0.350,-0.049,-0.003,-0.384,-0.038,-0.068,-0.377,-0.038,+0.036,-0.380,+0.066,-0.103,-0.349,-0.035,+0.096,-0.204,+0.134,-0.199,-0.211,+0.052,+0.201,-0.055,+0.072,-0.267,-0.056,-0.015,+0.348,+0.112,+0.327,-0.233,-0.023,-0.052,+0.082,+0.009,+0.025,-0.082,-0.009,-0.025,+0.127,+0.016,+0.101,-0.054,-0.022,-0.017,+0.161,+0.029,+0.080,-0.050,-0.010,-0.024
