# model_type: yolo26-nano
timestamp,frame_id,fps,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783500421.529,1,13.2,0.72,-0.033,-0.351,-0.070,-0.002,-0.386,-0.061,-0.064,-0.378,-0.062,+0.049,-0.386,+0.035,-0.090,-0.352,-0.055,+0.123,-0.200,+0.102,-0.185,-0.214,+0.042,+0.204,+0.014,+0.062,-0.243,-0.061,-0.055,+0.185,+0.016,+0.053,-0.217,-0.036,-0.076,+0.083,+0.014,+0.038,-0.083,-0.014,-0.038,+0.114,-0.007,+0.035,-0.062,-0.032,-0.033,+0.137,+0.018,+0.051,-0.050,-0.015,-0.042
1783500421.625,2,26.5,0.72,-0.033,-0.351,-0.071,-0.002,-0.386,-0.063,-0.064,-0.378,-0.063,+0.048,-0.386,+0.034,-0.090,-0.352,-0.057,+0.121,-0.201,+0.102,-0.185,-0.214,+0.040,+0.204,+0.015,+0.069,-0.243,-0.061,-0.055,+0.191,+0.017,+0.055,-0.218,-0.036,-0.076,+0.083,+0.014,+0.039,-0.083,-0.014,-0.039,+0.115,-0.006,+0.035,-0.061,-0.033,-0.034,+0.139,+0.019,+0.052,-0.049,-0.015,-0.043
1783500421.719,3,9.3,0.72,-0.035,-0.351,-0.071,-0.003,-0.385,-0.063,-0.065,-0.378,-0.062,+0.046,-0.385,+0.034,-0.091,-0.351,-0.058,+0.120,-0.201,+0.105,-0.187,-0.213,+0.041,+0.204,+0.014,+0.076,-0.245,-0.060,-0.054,+0.199,+0.021,+0.065,-0.219,-0.035,-0.074,+0.083,+0.013,+0.037,-0.083,-0.013,-0.037,+0.117,-0.004,+0.042,-0.061,-0.032,-0.032,+0.141,+0.020,+0.056,-0.049,-0.015,-0.041
1783500421.835,4,10.7,0.72,-0.035,-0.350,-0.071,-0.004,-0.385,-0.064,-0.066,-0.377,-0.061,+0.045,-0.384,+0.033,-0.092,-0.351,-0.058,+0.118,-0.202,+0.108,-0.189,-0.213,+0.042,+0.205,+0.011,+0.083,-0.246,-0.060,-0.052,+0.213,+0.028,+0.080,-0.220,-0.035,-0.073,+0.083,+0.013,+0.036,-0.083,-0.013,-0.036,+0.118,-0.002,+0.046,-0.061,-0.030,-0.031,+0.143,+0.021,+0.059,-0.049,-0.014,-0.040
1783500421.952,5,8.4,0.76,-0.038,-0.350,-0.071,-0.006,-0.385,-0.065,-0.069,-0.377,-0.062,+0.042,-0.384,+0.030,-0.095,-0.351,-0.056,+0.115,-0.202,+0.109,-0.193,-0.212,+0.042,+0.208,+0.008,+0.095,-0.249,-0.060,-0.051,+0.273,+0.089,+0.250,-0.223,-0.034,-0.073,+0.084,+0.013,+0.036,-0.084,-0.013,-0.036,+0.121,+0.001,+0.052,-0.059,-0.030,-0.032,+0.151,+0.021,+0.058,-0.049,-0.014,-0.039
1783500421.998,6,9.8,0.80,-0.043,-0.350,-0.068,-0.011,-0.384,-0.063,-0.074,-0.377,-0.059,+0.037,-0.382,+0.028,-0.101,-0.351,-0.051,+0.112,-0.202,+0.112,-0.197,-0.211,+0.045,+0.214,+0.004,+0.110,-0.253,-0.059,-0.048,+0.351,+0.147,+0.412,-0.228,-0.034,-0.071,+0.084,+0.012,+0.035,-0.084,-0.012,-0.035,+0.124,+0.005,+0.060,-0.058,-0.027,-0.030,+0.164,+0.023,+0.065,-0.047,-0.014,-0.036
1783500422.023,7,26.5,0.80,-0.047,-0.350,-0.066,-0.015,-0.384,-0.062,-0.078,-0.377,-0.058,+0.033,-0.381,+0.025,-0.106,-0.351,-0.048,+0.108,-0.202,+0.114,-0.202,-0.210,+0.047,+0.220,-0.000,+0.121,-0.260,-0.057,-0.041,+0.428,+0.204,+0.572,-0.233,-0.033,-0.070,+0.085,+0.012,+0.034,-0.085,-0.012,-0.034,+0.129,+0.008,+0.067,-0.056,-0.025,-0.028,+0.178,+0.026,+0.072,-0.044,-0.013,-0.034
1783500422.052,8,42.3,0.80,-0.051,-0.350,-0.064,-0.018,-0.384,-0.061,-0.081,-0.377,-0.057,+0.030,-0.380,+0.023,-0.111,-0.351,-0.044,+0.105,-0.202,+0.115,-0.205,-0.210,+0.048,+0.226,-0.003,+0.130,-0.263,-0.057,-0.040,+0.500,+0.259,+0.727,-0.237,-0.032,-0.068,+0.085,+0.012,+0.033,-0.085,-0.012,-0.033,+0.131,+0.009,+0.069,-0.054,-0.024,-0.028,+0.190,+0.028,+0.078,-0.042,-0.013,-0.033
1783500422.119,9,17.7,0.81,-0.056,-0.350,-0.063,-0.023,-0.384,-0.060,-0.086,-0.377,-0.057,+0.025,-0.380,+0.024,-0.117,-0.351,-0.041,+0.100,-0.202,+0.116,-0.208,-0.209,+0.048,+0.268,+0.061,+0.382,-0.268,-0.057,-0.038,+0.570,+0.311,+0.874,-0.242,-0.032,-0.067,+0.085,+0.012,+0.033,-0.085,-0.012,-0.033,+0.134,+0.011,+0.072,-0.052,-0.023,-0.026,+0.202,+0.029,+0.082,-0.037,-0.013,-0.031
1783500422.192,10,16.8,0.81,-0.059,-0.350,-0.063,-0.026,-0.384,-0.061,-0.089,-0.377,-0.057,+0.022,-0.381,+0.025,-0.120,-0.351,-0.040,+0.097,-0.202,+0.116,-0.210,-0.209,+0.046,+0.308,+0.124,+0.625,-0.271,-0.057,-0.038,+0.594,+0.307,+0.862,-0.244,-0.032,-0.067,+0.085,+0.012,+0.034,-0.085,-0.012,-0.034,+0.136,+0.010,+0.072,-0.050,-0.022,-0.026,+0.210,+0.031,+0.088,-0.035,-0.014,-0.030
