neck_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,head_yaw_deg,head_pitch_deg,head_roll_deg
112.231,106.088,99.803,111.551,80.957,88.466,5.302,36.272,51.946,74.151,-16.756,30.228
112.370,106.061,99.365,111.279,79.731,87.759,4.246,35.426,49.877,74.234,-13.234,30.600
112.069,106.464,99.443,111.346,83.785,85.357,3.250,33.331,49.849,72.671,-8.687,30.997
112.399,106.288,98.869,111.558,86.751,80.014,4.336,29.873,44.463,75.208,-5.287,31.778
112.610,106.074,98.958,111.504,86.277,79.128,4.650,28.746,43.271,78.033,-7.427,32.968
112.551,105.509,98.799,111.112,92.659,76.418,4.572,30.274,43.403,89.525,-22.917,33.705
112.208,105.383,98.188,111.611,92.723,72.352,4.811,25.764,43.717,102.652,-35.853,34.370
111.904,104.978,98.222,111.440,92.671,75.726,6.299,33.142,45.138,119.055,-49.110,33.649
111.867,104.805,98.860,113.066,90.883,77.072,5.568,32.704,48.866,125.476,-52.617,32.800
111.976,104.897,100.097,112.623,92.984,78.859,4.576,33.450,51.434,122.266,-48.821,28.344
112.128,104.694,100.251,113.537,88.216,83.035,3.294,34.006,54.858,108.028,-38.816,22.525
112.477,104.630,100.771,113.189,89.562,83.560,2.852,34.228,54.943,91.365,-19.459,14.401
112.599,104.938,100.193,111.311,89.706,76.058,2.734,27.959,49.351,91.249,-18.565,12.563
112.277,104.718,99.036,104.728,79.899,71.533,4.480,22.139,45.771,93.733,-22.617,10.265
112.429,104.847,98.697,104.078,71.800,72.876,6.963,22.151,45.741,94.969,-21.988,8.988
111.981,104.794,98.218,104.187,80.925,73.186,6.782,23.741,47.609,108.143,-21.411,8.872
111.728,104.635,97.973,103.976,84.483,76.003,5.934,27.856,48.320,107.737,-19.841,9.128
111.529,104.648,97.425,105.219,83.447,75.943,5.761,29.568,48.070,100.334,-22.265,9.033
111.392,104.902,98.288,105.093,83.795,75.148,7.099,29.360,44.634,97.837,-24.811,9.466
111.432,104.878,100.804,104.336,81.404,75.266,7.566,28.619,44.484,101.942,-26.305,9.837
111.557,105.007,100.833,104.204,54.882,73.594,7.301,24.734,44.908,108.696,-24.287,9.322
111.539,104.755,100.879,103.356,32.712,72.125,6.793,24.523,45.855,109.349,-25.266,8.887
111.808,104.796,98.462,104.530,84.046,70.950,6.045,23.253,45.060,105.089,-26.635,8.898
111.712,105.257,98.456,106.139,85.342,75.957,5.557,27.623,45.666,103.641,-27.718,8.470
