neck_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,head_yaw_deg,head_pitch_deg,head_roll_deg
111.560,105.578,98.567,106.580,95.615,81.968,5.139,29.090,45.717,107.207,-29.679,9.049
111.243,106.575,99.853,106.974,97.428,82.612,4.799,28.793,43.396,118.152,-30.550,11.130
111.250,106.544,99.520,105.044,96.865,77.301,4.335,21.768,43.210,123.675,-31.196,13.710
111.733,106.209,97.460,104.690,94.778,71.503,3.952,17.635,45.052,130.770,-28.475,18.995
111.744,105.679,93.872,101.953,92.157,68.507,3.508,15.095,48.460,143.488,-36.499,23.627
111.547,105.603,93.138,100.305,92.411,61.905,1.429,13.652,49.433,161.725,-44.320,28.474
111.364,105.689,93.879,99.833,92.254,44.451,3.302,3.470,46.977,167.622,-46.780,30.988
111.411,105.540,96.553,97.171,89.952,13.383,10.470,17.045,41.106,167.593,-49.923,31.064
111.918,105.495,97.787,94.882,90.491,8.442,15.308,28.298,36.501,166.611,-49.358,31.062
112.235,105.522,97.894,91.985,90.521,10.489,16.882,28.295,36.258,174.852,-50.810,30.693
111.990,105.348,96.374,92.152,92.591,10.633,16.216,27.375,38.295,178.068,-48.405,30.769
111.915,105.411,92.835,92.003,93.706,9.011,10.460,24.166,43.965,-178.848,-46.766,31.154
111.629,105.370,92.654,91.625,93.731,8.110,10.501,24.548,44.024,177.725,-45.706,30.921
111.423,105.473,92.596,91.233,93.751,6.904,8.593,23.752,45.697,171.553,-44.037,28.888
111.106,105.664,95.279,92.563,91.801,3.593,7.874,21.306,46.525,155.648,-41.153,25.025
110.893,105.878,95.655,94.533,91.448,3.975,7.473,20.995,46.465,139.223,-33.698,20.488
110.479,106.132,95.103,95.126,91.781,5.971,8.147,20.607,45.480,129.817,-26.268,18.383
110.511,105.694,94.250,95.665,91.875,7.051,8.640,20.111,45.035,127.027,-23.383,17.364
110.953,105.845,93.673,95.429,92.319,2.210,9.957,21.008,43.954,122.847,-20.115,17.687
111.799,105.663,92.046,93.429,93.166,5.419,15.628,21.836,37.496,128.902,-22.610,18.185
112.007,105.873,91.966,93.103,93.022,6.571,15.022,23.143,37.031,134.377,-27.228,18.669
111.947,105.950,92.747,92.278,92.934,5.103,13.262,23.706,37.858,139.054,-29.792,18.585
111.441,105.954,92.595,91.332,93.212,4.750,11.840,23.290,39.748,139.717,-29.801,18.512
111.096,106.016,92.744,90.987,92.900,4.963,12.137,28.653,40.414,142.386,-29.334,18.993
110.870,105.893,93.856,89.652,90.502,5.660,11.813,28.790,41.808,141.842,-31.236,18.975
110.840,105.658,97.048,90.750,85.020,5.778,12.077,24.880,43.139,143.645,-31.718,19.032
110.951,105.682,98.070,90.763,85.194,5.659,12.205,24.880,43.289,147.302,-35.319,19.476
111.367,105.621,98.074,90.328,85.082,9.219,15.406,26.041,38.477,140.873,-31.675,19.827
111.438,105.562,95.366,88.642,90.400,10.790,15.936,28.490,36.830,144.060,-32.775,20.501
111.620,105.926,91.667,89.283,92.060,12.137,16.101,29.638,36.126,145.124,-33.481,20.305
111.273,105.881,91.054,88.939,93.073,12.312,15.171,31.518,36.707,149.016,-33.528,19.760
111.182,105.990,91.085,89.323,93.382,11.380,14.542,33.588,37.705,144.608,-32.980,20.019
111.282,106.532,93.845,88.095,90.973,11.395,13.464,33.099,39.608,143.882,-32.139,20.427
111.113,106.596,94.030,89.666,90.869,4.535,9.768,31.705,42.086,140.847,-30.755,19.804
111.325,106.772,94.096,89.647,90.568,5.061,8.495,30.402,42.618,137.017,-29.055,19.660
111.598,106.844,90.680,89.708,93.146,5.440,9.742,30.538,41.465,139.821,-28.148,19.646
112.005,106.953,90.408,89.716,93.153,4.474,11.857,26.611,39.787,157.915,-38.239,23.234
112.130,106.898,93.436,90.810,91.509,4.363,11.630,26.352,40.043,161.848,-39.300,23.704
112.232,106.734,95.452,91.533,88.716,7.263,12.452,26.487,41.988,161.248,-38.472,23.799
112.064,107.531,96.340,95.748,87.799,17.188,10.422,24.248,45.671,145.048,-30.705,20.753
111.922,107.416,96.461,96.189,87.849,16.260,9.963,25.316,47.364,144.537,-30.644,21.350
111.933,107.407,96.570,95.723,87.875,13.420,8.056,27.244,47.465,154.568,-34.911,25.323
111.961,106.819,94.754,90.109,90.769,4.133,8.603,40.623,46.158,160.895,-38.562,24.656
111.912,106.942,92.906,88.405,93.268,4.733,10.646,41.686,44.322,160.996,-38.025,23.277
112.210,106.904,93.052,88.258,93.403,4.505,10.302,39.426,41.453,143.253,-29.697,17.568
111.934,106.941,93.759,88.403,92.788,3.158,12.890,34.894,38.817,143.500,-29.077,17.737
111.701,106.789,93.707,88.614,92.740,9.521,12.106,34.382,38.430,141.509,-28.927,18.105
111.673,106.691,93.241,89.741,92.543,18.594,11.814,20.798,39.054,144.493,-32.337,18.677
111.566,106.826,92.302,91.700,93.416,19.232,9.316,20.552,41.844,147.802,-34.434,19.162
111.572,107.039,92.369,92.853,93.179,18.585,7.827,21.054,42.583,151.428,-36.898,19.110
111.517,106.952,91.148,93.088,93.564,10.604,8.979,22.329,41.937,151.265,-36.380,19.308
111.442,107.174,90.862,92.981,93.893,3.058,8.919,23.097,42.480,144.758,-36.526,20.440
111.485,107.097,91.203,90.800,94.009,6.237,7.018,23.796,45.053,151.488,-38.385,22.851
111.582,107.132,91.392,90.256,93.843,10.121,7.007,23.093,45.053,150.910,-37.596,22.755
111.609,107.143,90.902,89.845,94.220,12.103,9.168,22.929,43.432,150.525,-34.623,21.758
111.546,107.464,90.632,91.320,94.459,26.779,9.381,19.160,42.178,143.825,-31.545,18.647
111.609,107.661,93.557,92.792,92.092,30.795,9.776,18.884,41.493,143.284,-30.322,18.101
111.798,107.530,94.041,93.794,91.595,31.148,8.363,14.423,40.827,144.704,-31.546,18.270
111.821,107.577,94.091,92.826,91.460,27.403,8.222,17.564,40.973,147.017,-31.865,18.770
111.912,107.555,94.030,91.792,90.837,19.046,7.906,20.436,42.116,145.049,-31.247,18.834
111.699,107.367,94.653,91.471,90.124,18.158,8.385,21.187,51.342,144.337,-30.628,19.337
111.622,107.242,94.377,92.746,90.414,18.260,10.856,18.548,52.493,143.106,-30.958,20.129
111.446,107.241,92.685,91.868,92.754,16.517,12.333,22.591,52.787,147.205,-33.559,20.125
111.526,107.305,92.529,91.736,92.877,21.757,11.989,21.166,45.540,150.010,-33.568,19.563
111.579,107.082,93.119,90.496,92.422,16.315,11.255,24.513,45.455,150.714,-33.820,18.601
111.392,106.927,94.624,89.861,90.021,24.494,6.525,20.177,45.987,151.397,-34.918,18.498
111.668,106.806,94.780,90.183,90.249,23.597,5.781,16.354,51.058,162.540,-38.870,24.390
111.699,106.823,94.221,90.744,90.888,23.606,5.531,16.314,53.730,160.332,-38.737,24.861
111.660,106.814,94.220,89.791,90.522,21.075,3.909,19.849,54.444,159.924,-38.359,24.592
111.385,106.904,94.605,87.957,89.922,23.007,4.484,20.210,49.657,145.801,-31.138,18.877
111.506,107.152,94.827,87.802,89.244,24.789,5.245,19.952,46.573,146.292,-30.859,17.654
111.495,107.269,95.848,88.220,88.300,45.169,5.306,1.924,45.890,142.071,-29.114,16.552
111.561,107.594,95.713,89.910,88.489,48.892,2.793,1.092,46.188,136.649,-26.320,17.607
111.598,107.679,95.398,89.982,88.675,49.411,5.152,1.857,45.697,135.869,-24.420,19.535
111.442,107.761,93.698,92.310,90.910,49.644,5.906,2.296,45.416,132.751,-22.571,19.849
111.579,107.652,91.158,93.710,93.646,47.558,7.794,5.329,42.819,131.289,-22.227,19.276
111.588,108.030,91.831,92.532,93.176,41.039,9.382,7.409,40.580,132.796,-23.663,16.117
111.613,107.442,92.990,89.881,92.286,36.269,10.616,12.517,37.062,134.435,-22.854,15.000
111.748,107.310,93.347,88.163,92.172,29.658,12.031,15.010,36.673,135.595,-24.497,13.373
111.591,106.963,93.574,90.228,91.929,22.017,12.186,12.942,36.138,138.908,-25.997,12.011
111.348,107.153,94.525,91.608,89.678,24.049,11.678,12.055,38.342,140.929,-26.497,12.006
110.830,107.331,94.502,92.994,90.209,26.450,9.948,6.466,38.854,141.367,-27.980,12.507
110.768,107.199,94.310,93.317,90.343,27.672,11.346,3.906,38.005,142.949,-28.119,13.460
110.882,107.176,92.140,92.229,92.641,23.204,9.804,4.517,39.219,141.572,-27.461,14.159
111.153,107.015,91.983,89.399,92.600,18.629,11.533,10.117,37.257,137.665,-25.779,14.960
111.271,106.982,91.910,87.444,92.685,16.368,13.043,18.391,35.294,135.861,-23.717,17.210
111.140,107.132,94.646,87.608,89.765,16.482,13.105,19.177,35.362,135.332,-23.938,17.706
111.339,107.127,94.751,89.298,90.371,16.505,13.798,21.853,34.188,134.962,-24.282,18.723
111.639,106.958,94.758,89.453,90.092,17.819,14.349,19.370,33.674,131.871,-23.409,18.829
111.742,106.928,92.562,89.360,92.734,14.920,13.651,23.179,35.093,151.673,-35.682,22.941
111.857,107.068,92.308,89.231,92.879,16.673,12.356,19.249,35.834,156.638,-38.185,23.604
111.999,106.888,92.481,88.978,92.878,14.129,9.101,25.077,38.839,167.703,-41.664,26.387
112.043,106.928,94.325,87.991,91.074,15.424,9.241,31.601,39.381,167.243,-41.456,26.966
111.991,107.061,95.205,87.070,90.111,14.537,9.198,32.960,39.844,163.797,-40.279,27.019
111.756,106.772,95.071,86.088,90.354,5.747,10.279,32.968,40.300,153.042,-35.762,24.024
111.559,106.899,93.730,86.401,92.737,2.749,13.048,36.032,37.475,139.360,-26.648,20.297
111.438,107.085,93.297,86.203,93.162,4.129,13.096,35.047,37.587,144.885,-30.618,18.797
111.345,107.031,92.989,86.573,92.798,4.158,11.191,35.700,38.806,143.151,-31.264,17.679
111.399,107.003,92.418,86.436,93.251,3.628,10.443,38.568,40.702,142.890,-31.212,17.942
111.451,107.058,92.548,87.222,93.184,14.976,9.362,29.724,44.211,142.663,-29.517,18.047
111.235,107.088,92.565,88.150,93.194,14.573,8.684,25.881,44.723,146.943,-33.272,17.772
111.348,107.132,92.433,88.234,93.082,12.738,9.242,26.251,45.264,146.121,-31.155,17.582
111.233,107.012,92.089,87.877,93.024,7.464,10.350,26.881,44.134,147.043,-31.394,18.251
111.339,106.906,92.140,88.502,93.030,5.639,11.323,29.331,43.745,146.183,-33.437,18.295
111.136,106.752,92.522,89.004,93.014,4.826,8.741,29.204,43.520,144.433,-32.722,18.746
111.131,106.883,93.761,89.623,92.203,10.786,9.660,26.004,43.193,156.234,-38.092,22.857
111.132,106.833,93.838,89.573,92.219,14.893,9.470,28.735,43.440,157.644,-37.832,23.003
111.294,107.074,93.290,88.229,92.428,14.585,13.529,31.264,40.233,160.807,-39.584,22.778
111.227,107.036,92.183,87.134,92.987,10.069,13.951,35.477,38.733,147.748,-33.690,19.427
111.347,107.110,92.566,86.612,92.639,9.105,12.529,36.476,37.216,145.291,-33.166,19.294
111.434,107.113,94.407,87.703,91.759,16.287,11.313,26.163,37.603,143.267,-32.201,19.639
111.393,107.180,94.421,87.295,91.847,22.878,8.824,20.891,40.405,143.324,-31.556,19.732
111.723,107.027,94.368,86.143,90.993,22.785,8.964,20.750,41.036,137.524,-27.822,20.395
112.031,106.735,93.921,86.441,91.262,23.053,7.915,22.576,44.764,137.065,-26.073,20.692
112.181,106.641,96.646,86.650,86.863,24.260,8.406,21.816,50.199,139.949,-28.915,21.191
112.155,106.686,97.921,88.878,85.193,37.234,8.557,9.664,49.409,141.101,-30.218,21.193
112.100,106.676,97.913,89.257,85.142,36.474,8.895,10.290,49.154,142.188,-31.096,20.908
111.461,106.706,94.498,87.179,90.654,22.778,12.031,18.352,42.649,144.368,-31.370,20.395
111.427,106.546,91.984,85.507,93.555,19.170,10.373,21.618,41.420,144.580,-31.780,20.499
111.956,106.312,92.193,84.254,93.613,13.667,11.435,30.110,40.144,138.031,-27.542,20.669
111.973,106.256,94.148,83.819,91.476,10.396,10.400,31.212,40.756,136.909,-27.880,20.318
112.060,106.537,97.214,83.406,86.409,5.538,12.531,32.576,38.162,134.889,-25.463,20.334
111.745,106.751,97.124,82.514,86.515,3.306,12.585,38.496,38.558,138.079,-26.675,20.397
111.604,106.678,95.836,82.445,88.126,3.279,8.862,40.186,40.910,135.516,-26.150,20.484
111.543,106.697,91.969,83.815,93.524,7.857,7.981,41.432,44.055,134.002,-24.929,20.650
111.822,106.891,91.843,85.315,93.651,13.959,7.807,32.916,44.608,133.090,-23.693,20.728
112.000,107.024,92.346,86.748,93.329,26.087,9.638,26.209,44.225,136.931,-26.720,20.356
112.443,106.963,92.771,86.819,93.196,28.258,8.861,23.391,43.212,141.413,-27.864,20.548
112.420,106.725,92.634,85.589,93.315,26.506,8.700,25.362,43.505,140.747,-28.984,20.004
112.271,106.649,92.217,84.650,93.367,26.172,6.872,27.760,44.629,139.149,-28.724,19.411
112.226,106.801,91.713,83.929,93.695,21.175,6.388,33.028,44.673,138.177,-28.131,19.257
112.455,106.623,91.393,83.935,93.923,10.243,7.417,40.403,43.814,141.529,-27.150,19.337
112.681,106.818,91.511,83.895,93.813,9.446,9.742,41.325,40.428,141.802,-30.054,19.212
112.652,106.803,91.682,84.712,93.621,25.832,10.156,29.641,39.816,145.751,-32.260,19.092
112.169,106.854,92.361,85.824,92.912,27.915,10.474,25.952,39.267,138.768,-31.882,18.375
112.020,106.770,92.634,85.554,92.688,28.617,11.599,26.004,38.935,137.295,-28.389,18.153
112.013,106.883,92.606,85.089,92.553,11.440,12.668,34.105,39.660,134.230,-27.258,18.693
111.939,106.825,93.227,85.122,91.672,9.048,11.655,33.362,41.981,132.890,-24.888,19.124
111.791,107.054,95.058,85.299,88.631,9.006,9.979,32.893,42.674,134.796,-26.642,19.155
111.440,106.902,95.141,85.322,88.429,22.901,8.961,23.759,43.816,135.430,-27.786,17.313
110.916,107.013,94.150,88.403,88.416,47.503,8.815,4.232,44.456,135.989,-37.072,11.962
110.599,107.655,93.896,98.029,85.656,75.407,5.965,27.454,53.590,134.860,-34.884,7.697
110.451,108.396,94.141,109.213,85.593,94.256,14.121,43.004,68.786,136.435,-35.129,6.875
110.153,108.410,96.248,109.992,84.504,105.393,21.736,41.319,74.503,130.658,-33.349,6.654
109.905,109.542,100.623,103.883,93.425,106.917,25.446,39.920,74.009,126.564,-31.713,5.066
109.996,109.075,108.825,90.179,102.364,107.472,20.840,23.750,65.747,104.552,-40.679,4.902
110.199,107.697,117.849,75.116,111.856,77.431,48.683,43.985,11.927,88.870,-31.112,4.162
110.484,108.885,124.122,68.179,37.157,25.731,57.149,117.583,8.299,88.225,-31.434,4.216
111.023,109.941,125.734,67.147,30.047,31.019,58.087,131.451,5.973,92.925,-30.458,3.805
112.206,111.381,126.100,60.680,22.147,30.485,10.673,131.749,46.772,97.606,-27.732,5.911
113.050,112.355,123.481,56.490,28.187,12.399,22.928,114.915,62.989,99.437,-24.329,6.164
113.288,111.538,117.850,53.204,24.159,35.220,29.461,75.453,76.556,86.366,-25.524,5.884
113.106,113.195,110.333,49.214,6.274,48.442,30.258,60.924,87.304,82.300,-26.577,4.744
113.244,113.007,104.743,46.363,2.358,69.176,30.027,38.513,95.068,80.916,-31.802,4.148
154.441,102.469,104.596,48.305,16.694,82.614,14.615,25.240,116.164,114.300,-38.185,0.993
154.547,108.175,98.654,62.380,22.298,77.238,14.986,24.509,36.848,115.580,-36.136,2.998
164.160,109.259,104.800,49.467,7.847,3.586,35.293,67.775,145.618,119.103,-18.836,26.563
164.052,108.169,129.691,56.650,26.218,3.297,16.419,58.056,131.364,123.191,-21.679,24.757
157.266,115.508,137.031,29.677,1.580,3.348,3.044,55.508,153.016,110.133,-22.958,17.371
156.747,124.872,162.953,28.889,0.196,113.030,3.290,37.958,23.399,140.480,-24.704,25.551
156.653,124.728,162.231,28.889,0.930,112.659,3.461,37.958,23.399,143.074,-24.852,28.855
153.579,123.221,138.841,27.360,17.771,89.057,1.243,41.829,165.850,146.826,-45.083,6.427
132.610,101.037,75.882,25.458,49.525,65.854,120.816,58.017,1.223,25.323,-53.085,14.935
120.439,100.362,126.522,26.778,29.264,59.203,116.182,67.185,1.208,31.839,-48.041,-7.934
120.168,99.554,131.400,27.734,15.527,69.398,33.649,56.752,53.341,49.969,-45.490,-7.508
106.797,105.660,116.634,30.105,17.542,74.181,24.012,53.883,52.095,47.862,-40.229,-5.116
110.214,106.863,113.107,24.702,8.427,94.883,17.931,25.915,61.650,57.745,-41.423,-0.252
120.729,106.454,117.887,21.690,6.657,85.595,15.127,20.835,61.987,34.632,-62.396,4.515
119.820,107.419,119.840,20.618,11.894,73.824,14.225,19.486,63.283,-162.618,-36.152,4.944
109.993,107.725,119.906,37.449,13.132,73.822,13.071,19.650,64.362,-158.222,-44.692,-3.620
109.900,108.140,120.023,59.268,12.262,64.461,12.643,31.616,64.381,-166.816,-52.614,-59.844
111.571,108.743,119.357,59.680,13.101,41.242,13.956,66.680,64.406,-152.533,-32.861,-126.012
122.855,108.810,118.704,59.684,12.132,26.291,13.922,65.522,64.798,-152.735,-32.846,-125.730
132.256,109.737,117.437,59.542,11.786,27.374,13.123,64.386,66.595,-152.343,-33.343,-125.071
131.222,109.253,116.334,60.707,15.565,30.139,11.172,62.877,68.331,76.333,-20.959,11.677
131.400,109.744,116.203,60.815,17.446,24.954,10.986,67.623,68.331,78.734,-14.978,12.066
131.987,109.641,116.393,60.660,19.176,15.161,10.108,82.219,68.141,163.462,-20.017,8.219
135.500,108.825,116.529,59.976,18.856,14.786,12.287,93.754,69.829,168.156,17.817,55.438
135.694,109.490,115.653,60.020,18.307,23.004,12.582,97.822,76.300,162.670,32.870,62.345
135.710,109.661,115.646,59.913,18.393,23.932,11.574,95.708,78.301,159.908,36.576,62.600
131.281,109.572,114.053,59.901,14.760,17.142,11.754,81.638,75.109,156.554,34.714,58.974
129.485,109.486,112.812,59.879,14.216,18.872,9.426,73.916,74.917,154.088,26.365,49.112
129.573,109.357,112.352,59.879,12.344,18.770,8.813,75.517,74.200,137.675,-45.194,-30.003
130.577,109.142,111.034,59.791,8.256,19.162,9.821,76.641,71.560,130.753,-44.076,-24.198
131.351,109.166,111.397,59.813,7.144,20.851,8.804,72.547,71.904,123.100,-50.630,-21.417
134.429,110.102,112.229,59.032,6.191,20.584,8.367,79.281,72.583,166.014,-47.023,-24.131
137.149,112.992,115.320,57.381,11.854,22.527,6.095,80.352,68.978,170.235,-48.586,-23.141
147.291,115.707,113.795,48.387,13.874,25.161,0.746,89.163,71.551,-179.036,-42.754,-16.384
