neck_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,head_yaw_deg,head_pitch_deg,head_roll_deg
169.892,117.460,106.458,6.441,15.921,113.525,5.709,15.299,64.261,-160.568,-30.023,59.673
168.645,112.818,110.510,36.725,13.410,114.516,5.799,16.874,62.644,-161.384,-30.909,61.523
170.103,114.728,108.661,39.844,12.591,114.938,14.273,19.858,51.651,70.943,50.764,-68.436
169.573,113.389,108.926,39.093,17.248,130.818,11.878,87.952,53.739,84.359,51.886,-72.295
169.772,113.583,95.928,30.070,25.281,131.000,11.000,91.657,55.626,87.278,58.787,-51.283
162.542,114.615,79.837,115.114,38.910,128.143,7.009,87.979,59.241,-165.559,-59.850,4.949
154.396,114.854,81.090,7.662,101.689,132.793,13.375,68.541,70.350,-158.022,-45.465,4.158
149.838,115.257,100.821,6.583,106.171,134.438,16.835,67.727,72.569,-161.210,-46.308,6.501
156.831,116.738,100.606,12.585,108.616,132.453,23.225,110.501,82.499,-159.890,-48.006,10.965
165.353,117.377,98.704,19.561,28.827,125.523,21.151,110.619,74.275,-159.770,-48.348,17.308
170.835,115.807,97.891,23.283,41.019,114.103,23.682,112.375,76.752,-111.778,-66.928,20.988
166.705,103.835,103.026,13.265,47.449,101.120,17.510,54.653,67.326,-76.584,-80.672,16.786
161.077,101.581,104.918,22.953,51.184,86.827,13.420,52.634,54.479,-83.984,-58.681,16.832
12.810,109.650,10.049,35.787,155.219,103.233,87.889,45.078,54.652,-54.571,-45.749,41.561
9.534,108.066,7.687,30.251,156.674,110.150,85.651,32.626,46.732,-41.470,-36.508,42.717
9.930,107.522,7.970,35.503,155.251,98.543,86.827,36.731,50.837,13.409,10.143,42.544
20.740,90.901,19.628,45.417,141.458,73.023,83.146,20.349,65.264,21.164,18.184,40.084
49.032,100.081,62.256,99.104,96.863,87.390,63.949,65.795,77.256,25.227,21.690,33.258
176.267,109.941,112.986,118.932,20.929,105.310,21.968,1.690,78.952,-28.691,-24.629,17.928
169.370,112.922,114.771,118.163,19.514,104.727,19.994,1.274,82.508,-44.898,-48.935,15.623
169.362,120.711,114.546,111.989,19.609,104.171,16.879,1.014,84.578,-64.018,-58.003,12.396
165.336,118.479,115.706,8.071,19.870,105.474,14.569,2.935,80.244,-72.817,-56.339,6.964
160.771,116.642,116.455,8.947,19.824,89.396,18.227,34.283,78.764,-72.058,-62.145,3.630
148.709,118.633,118.184,8.370,2.511,90.111,18.690,36.272,81.156,-104.396,-60.605,1.539
150.594,117.435,118.941,30.019,1.943,98.731,19.887,38.843,87.791,-112.503,-63.524,2.091
154.446,119.590,117.973,69.806,1.714,112.660,20.694,20.895,100.850,-77.325,-56.049,3.986
171.143,113.899,92.916,137.263,28.723,133.454,44.650,28.017,130.487,-84.265,-42.721,11.493
172.404,110.932,92.783,127.066,43.436,138.286,52.368,33.035,127.680,-85.673,-48.894,13.395
