frame,hips_roll,hips_pitch,hips_yaw,neck_roll,neck_pitch,neck_yaw,head_roll,head_pitch,head_yaw,L_shoulder_roll,L_shoulder_pitch,L_shoulder_yaw,L_elbow_roll,L_elbow_pitch,L_elbow_yaw,L_wrist_roll,L_wrist_pitch,L_wrist_yaw,R_shoulder_roll,R_shoulder_pitch,R_shoulder_yaw,R_elbow_roll,R_elbow_pitch,R_elbow_yaw,R_wrist_roll,R_wrist_pitch,R_wrist_yaw,L_hip_roll,L_hip_pitch,L_hip_yaw,L_knee_roll,L_knee_pitch,L_knee_yaw,L_ankle_roll,L_ankle_pitch,L_ankle_yaw,R_hip_roll,R_hip_pitch,R_hip_yaw,R_knee_roll,R_knee_pitch,R_knee_yaw,R_ankle_roll,R_ankle_pitch,R_ankle_yaw
0,174.60591104178494,14.723919520012606,1.7235695710792212,5.117430613789204,35.75781938579817,81.28710831159056,173.85935683618726,3.0936459247645955,-85.0487314884526,23.495113174289436,-46.97488097470828,156.75932201479205,81.627450135134,11.852535177339506,44.39981824242868,-1.089882405996882e-16,-6.54230643214133e-16,1.9645241962997862e-15,16.20033699106905,68.25789387372348,-144.29988326528732,114.40452441407818,-34.0162300566139,143.91066054448603,3.0123638210005154e-15,-4.2313200881165635e-16,7.913771245906279e-16,1.9556823607579568,-11.013198554296855,100.13424688876228,5.727132158319027,-4.552732663025848,-140.27314422664813,1.1358603473697752e-16,-1.7085942346274716e-16,1.3430593085744056e-15,-15.391398690708048,-16.069505869371188,45.15762917212444,11.728045731035829,14.300669557219052,126.5643994297665,1.5274438427023315e-16,3.9398375312005895e-17,-8.849361697568013e-17
1,175.24033478645657,13.555317570995442,1.4846093306741954,5.1461866126613645,37.989173711649364,81.67569841724922,173.00632135945284,0.5059440812690138,-85.50198776625471,-1.0332077623732765,-17.686881291255002,158.2219822588886,57.29850051522754,7.146959231329057,22.628019205081795,1.021131390622554e-15,-7.10090044919748e-16,4.095972997093033e-16,10.492603244970756,70.21433084566273,-140.49666814368055,112.11778857490445,-34.220731138814344,141.23739648011556,-5.924330465647235e-16,-2.5219058220206147e-15,3.955386680321362e-15,1.8354583545783922,-9.627983921968674,100.84661754802939,5.38046940336051,-4.019369730405826,-137.7932946817814,-8.212909791667983e-16,6.522523088133208e-16,-1.5444025312206285e-15,-11.869785856562661,-15.677333462762768,52.123487032353026,5.380010079962359,18.965022589078995,127.89142082616104,1.4752118243354685e-15,-6.386607902016091e-16,1.8721042903442894e-16
2,174.48914178840712,13.282362692866197,1.378540954030382,3.8663416471847984,37.827150271201795,83.71143556265984,174.43634159414756,1.4384825871699825,-85.50849097577314,-17.362071826954693,-8.565477597679235,158.41815945390888,51.49505982965657,13.930873968943766,23.28218133685157,1.025134374882698e-16,-4.757847019317004e-16,1.6328048176812372e-16,5.689216969963445,70.46107312514314,-135.38263466647908,109.14991420856398,-35.69082973577335,138.22316898274536,1.988264019390135e-15,-8.845373474838011e-17,-2.5873805927878864e-16,1.8067226195821302,-9.615916266515413,100.69360134359455,5.586272445562493,-3.6637459210208942,-138.94650972723477,6.914326201414607e-16,-1.5690481147829878e-15,-1.357656867007332e-15,-10.549388523999664,-15.080064701110796,54.404602875648955,-2.219825433698156,15.544924554617102,144.44431477120105,-1.8110278670599006e-15,-6.903787888134314e-16,9.921630546660075e-16
3,174.62743840498766,12.292424823349087,1.7952768750148995,4.694757633654996,38.93541701532974,82.55497576739347,167.5740056439206,-0.11361375465407182,-86.15332826682848,-26.328434428326815,-4.638904547819044,160.47010621780458,1.8756735215595854,-0.7425177111168895,-176.44033037322885,8.535788118057224e-16,-2.627169736118562e-16,-1.4069647161162483e-16,-6.104920024938699,73.78412055354592,-124.13993839120677,105.64291948012206,-37.60579765355339,132.4584861948615,3.331033933471643e-17,9.783739775511845e-17,-1.3859580237797222e-15,1.5169982377730094,-8.422541351347135,100.24860261475511,5.62852703477904,-2.3981242332918584,-140.71956693557038,6.790499446952729e-16,-2.1988751060224443e-16,3.133603099460088e-15,-7.3105915320289085,-13.209634650182545,60.689618816789796,-5.948708787387612,17.126327853506556,142.52794453205172,8.488652794243929e-16,-5.043997960491433e-16,1.5795009820621551e-15
4,173.50329581261718,12.387550272853192,3.017002052754387,5.7884360685863205,37.983888655267066,80.6464929796314,161.07437799314,1.1309891879462124,-86.15923308023886,-25.890157133117043,-4.278314708455448,161.3533896053576,50.371063719238684,21.21336951233786,25.485939365878558,3.826801540999038e-15,-7.205082893482432e-16,5.526778978906686e-16,-12.496649652138563,73.77471470474299,-116.78530529003623,103.27661555491196,-38.85579637406101,130.09058845356017,-1.678559870939212e-15,8.794027370450187e-16,1.111164625944861e-15,1.2761501581409946,-8.492977187121795,98.57760919295266,7.0803091804972595,-0.9912131133342974,-146.67837320591926,-5.17904897072437e-16,4.052500967886427e-16,-1.0977593727783843e-16,-8.033341548020521,-12.931273950107752,57.76130381066635,2.460931539439108,13.896668875130318,133.23872586488665,3.425222001231262e-15,7.97331395536295e-16,1.2568319441275449e-15
5,174.3049923771948,13.03056268902631,3.5390732928926716,7.779392113748757,38.04553897069893,77.50098507868512,153.7721892584078,-1.3668758089991984,-88.36444878624003,-26.521966324370094,-3.5995311477002554,163.79794437235464,35.65990905087738,6.047993770297557,13.969335860658237,-1.1909081253422225e-16,1.7567617985071112e-15,-1.231379539101685e-17,-3.4969973103437333,72.96048233537451,-126.43792837141675,108.14089819008872,-36.347836877833394,136.50512970882045,3.604465132542746e-15,1.2354106987446623e-15,6.221244568350893e-16,1.8759215707955847,-10.6148415394829,100.08210140220169,8.493776595082986,-1.528282378372961,-146.22597992347366,-3.8793989413271544e-16,1.0028468497579206e-15,-3.529223505516237e-16,-8.922868481821475,-13.755787918640971,56.56389185503026,6.7917790698745755,14.215324976048354,124.43694498481186,8.186060427046209e-16,3.1296908034608953e-15,-5.397532658397965e-16
6,174.39973577638324,13.216849549665026,3.2466851735143596,8.170817855578685,37.76077523169225,76.80415080498796,152.22450494527638,-1.8283127120282416,-89.66722938391456,-18.896741252126507,-6.787244903816215,161.64741323354232,39.18267937370682,5.021559877588853,14.6794125618366,1.8630617333444993e-16,-1.774171987589057e-16,-8.179879896211303e-16,-6.808377134515565,74.30475726183909,-122.67850568414165,108.2940089868556,-36.3366832881824,136.07675977877673,-3.655228719475517e-15,2.1017754233791452e-16,-2.018833102978182e-15,3.2378015961826594,-13.260895865555371,103.85370825957767,9.894667021637705,-2.9163787733057656,-142.17122840815793,-1.1012799122334474e-16,-1.1000603885174007e-15,-1.0596171178315622e-15,-9.300054991716106,-13.991414663833101,55.889883182499716,8.392751616958922,11.596160419095993,126.15622939008283,-9.50784715609207e-16,-4.391708365304083e-16,-1.2311174278039497e-15
7,174.83145370830078,13.188100858813039,2.4237345725209924,8.022024772412507,38.486533813669446,77.24003384441059,152.80109823809366,-2.9482646377116573,-90.68823763641515,-3.204498965036782,-31.218503663300673,144.47855194246233,60.24260343995275,11.861069725220457,39.43140417763061,-7.858168698730328e-16,7.213533295797274e-16,8.582107280153053e-17,-1.1705310313531951,73.69378549146408,-129.16261314571986,110.14798978550837,-34.86846548719536,138.56290276286035,1.0853585032057958e-15,-2.520856150636031e-16,-5.5421404218454827e-17,5.573071598420063,-15.955691899929773,109.54283245923642,11.688007522368729,-4.68668635770029,-138.02197359729624,-8.678231175806938e-17,-1.094976323437339e-15,-2.1972309188282357e-15,-8.927691555728442,-14.068116753347116,57.12683201212281,7.0943236789297,12.951725646929468,126.80231021237708,-9.700700238981968e-16,1.2618321812370976e-15,-4.2740534294575057e-16
8,174.97096634459967,12.78012703679907,1.8792633536052414,8.341111836707075,40.31609521312697,77.23188503262372,154.7087267244147,-3.462124913744989,-91.13393158655062,-81.02541388230571,-28.533485845090198,29.6512712895578,34.1909109690593,13.212790152310596,136.4295903815464,3.1786796768898183e-16,1.731496560472637e-16,-7.882570007317646e-16,-5.7734423394316385,74.06451163281157,-126.31670076499239,108.833973938328,-34.80181899463721,137.35935168083307,1.3929347431831984e-15,1.4639575034656125e-17,2.519059534433568e-16,5.277624617966186,-14.638662074115086,110.07802339843713,11.698744170703367,-4.710226693238049,-129.2816138879183,-3.2966333220067127e-16,1.6871458191220112e-15,1.390955765090878e-15,-8.63914314460364,-13.73737336422973,57.3888559263467,8.648743432781734,12.812998548323534,120.81373930677971,6.638464259571584e-16,1.121448631374192e-16,2.426437649454852e-16
9,175.4907101962924,12.459799441847577,1.4772175506507903,8.676156961413032,42.2310525077164,77.20865136007947,158.96646438034614,-5.456490548637106,-92.08669934580772,-24.04253427186351,-47.3280765224749,114.97695488008448,60.22955121586219,26.679681892987674,68.33425689682491,-1.7149876984881086e-16,-2.1177432004255027e-15,3.652441710384787e-17,0.5481834456052168,71.61288390008868,-134.99712835263082,110.40505980126918,-32.40272008773518,141.14701544461448,3.499054162891609e-15,-1.4442104450487958e-15,-1.7057106191128372e-16,5.019572758590916,-13.826792085351899,110.17943095317827,12.131737892868761,-2.803365751524638,-132.44670849698306,-9.156778314890713e-16,9.659354180161114e-16,3.692087748326203e-15,-8.44363164930972,-13.959106707673852,58.39309140334711,5.743730617716552,15.849142013751216,124.23190453715674,-1.0678129307781038e-15,-9.980041954951046e-16,3.5360555973634366e-16
