frame,hips_pitch,hips_roll,hips_yaw,neck_pitch,neck_roll,neck_yaw,head_pitch,head_roll,head_yaw,L_shoulder_pitch,L_shoulder_roll,L_shoulder_yaw,L_elbow_pitch,L_elbow_roll,L_elbow_yaw,L_wrist_pitch,L_wrist_roll,L_wrist_yaw,R_shoulder_pitch,R_shoulder_roll,R_shoulder_yaw,R_elbow_pitch,R_elbow_roll,R_elbow_yaw,R_wrist_pitch,R_wrist_roll,R_wrist_yaw,L_hip_pitch,L_hip_roll,L_hip_yaw,L_knee_pitch,L_knee_roll,L_knee_yaw,L_ankle_pitch,L_ankle_roll,L_ankle_yaw,R_hip_pitch,R_hip_roll,R_hip_yaw,R_knee_pitch,R_knee_roll,R_knee_yaw,R_ankle_pitch,R_ankle_roll,R_ankle_yaw
0,7.245079259543472,-71.92503453093583,-167.92788985589993,5.977495969908993,162.8634164532587,-18.661773026411662,0.1401938535093179,-150.84034897260418,40.54340434921811,-50.77079131711983,127.1159191725839,10.814802701222959,-28.4562626592444,44.333778617389044,30.936028482090524,1.6371814272884074e-15,-3.6083711150362994e-17,2.9301839307495365e-15,-1.2966358060922296,4.663877454248559,-35.06608162437948,6.768824616596418,-4.671970898001966,-39.70824928686243,3.4536157880028314e-16,-4.1331883387776346e-16,-1.0975258595591004e-15,5.6692503093422,159.6408601426119,-14.906862437741768,-1.6143436024705675,174.518910894215,0.4361702847881657,1.465373187180029e-16,-4.783045570327032e-16,-1.5542656660087453e-15,-13.378115362133691,10.6692994729871,-50.84596184904899,1.5975766036620598,178.94009988646465,-4.3307556443465955,2.8650053852370302e-15,-1.5582387825500253e-15,-1.7843435862112847e-15
1,8.660496874338472,-77.72278449314396,-155.66774839933277,0.4157416808564005,167.1167498397921,-1.8170397999366061,-31.018826825843796,-75.97450134116467,-151.51313545302412,-49.89612691815349,82.49018600578464,-7.6217302270885,25.142799844936967,-7.550599989143548,-22.534192803538765,2.8029985024821017e-16,9.92658278575361e-16,-1.4444003803750904e-15,-1.1676929903616302,6.476730074089324,-12.040728996574458,-2.6375639635493315,3.2439627200890526,-28.83076353646821,3.1448969037865356e-15,9.425836144124247e-17,2.478567353580345e-15,-34.76917668399116,-67.85237966281491,13.067838479579176,31.730561214476598,-161.69419007595096,20.975820505476733,-1.9526484724573204e-16,3.469722313603618e-15,-2.7874136454793685e-15,0.194243798974426,-0.8615101752829388,-12.705005331446845,0.9369276055092866,174.80940533807993,2.502338305420677,7.049033764540157e-16,5.091753990228561e-16,5.215443241404998e-16
2,10.953112033204588,-74.29113865041514,-155.12963567112263,0.6807182011396486,160.84033605877983,-1.958387244093915,-30.92670557006968,-74.11558924243175,-150.04880224667525,-50.13124823746074,79.83772002345381,-9.906635080731935,42.38194246140626,-18.114064023074707,-13.53662157202018,1.928701904845954e-15,-3.583184256219377e-15,-1.8829324834895293e-15,-2.650595538720046,9.505853293059674,-17.512184640810695,-2.731727345268475,3.207039244496537,-24.724459069296003,9.229128708072717e-16,-9.889030952006324e-16,-1.071816694192175e-15,-34.67329569117018,-69.35210299496698,12.099757029046742,28.3388680848026,-158.79539820817695,14.267563288172735,8.5018468947743e-16,1.7274717340694644e-16,-2.1656582728353704e-17,1.1996002113808975,-6.644505628017086,-10.188265721473655,0.6406544512228619,175.6015679791529,1.9869839239151654,6.0893992048301e-17,1.5806180407928521e-15,1.8186760215678e-15
3,16.86052027896984,-64.31796973164211,-156.5664190908249,1.514629455773376,144.8363526596933,-2.1487605339207256,-31.093910931001815,-78.59909624483683,-155.0932738289018,-53.41213215030892,90.68512059214666,-2.0786030673119207,52.50676692164584,-23.843849742016136,-7.466490936220558,1.4937357031103522e-15,2.836407921960142e-15,-1.5998184744521971e-15,-9.033545290773302,14.735342008997767,-33.46577119112334,-1.1750018436909382,1.3554185380853683,-8.906985010839414,1.0415021137746293e-15,-1.586851952811133e-15,-7.472280966586935e-16,-38.002776720795595,-87.06114514074184,1.8104376958304824,30.061627204782425,-157.26868293514445,12.053369308032451,-7.948058215606177e-16,2.47326636133751e-15,2.568122271615949e-16,1.1719302064952841,-16.145053098609587,-4.04129968552898,0.17874735432769426,175.44347362092785,1.9657627430450748,-1.2691906976587753e-15,-1.4535093232301026e-15,3.159669809186619e-16
4,16.96965102919359,-64.1338434471875,-156.45927367847997,1.5475656030705691,144.46463623841575,-2.1654817296647857,-30.684849217182165,-77.19107354937697,-153.52737572851774,-53.29746489494282,91.48401170941857,-1.4715147774442077,59.440283567256984,-45.29479496773007,12.866249519015442,-8.722663996794247e-16,1.3440728141888954e-15,-1.3226532751055264e-15,-9.310682129093516,14.903639367229378,-33.956326014903155,-1.6082231807123148,1.6616680779119621,-11.536458682873572,-3.711810958961923e-15,3.780906489536369e-16,-3.312187970308287e-15,-39.17346746884072,-90.99696006334885,-0.6297883342772637,30.0237467456673,-156.4017510509335,9.698755224625586,2.18690489211434e-16,-7.266992615792973e-16,-1.0893012828783516e-15,1.171440843187606,-16.030354804412337,-4.0700025662391575,0.1789833589020367,175.23227914572388,2.090011818594573,3.3088474494091426e-15,-1.3334674579673827e-15,-4.564309498916305e-16
5,14.625807524122612,3.552652423881213,173.86609598377797,42.892029594975035,65.94265647861565,16.901281694239763,-12.09975532242006,-102.07162440249944,164.13486966006545,-80.87051759515451,89.23061882855696,-46.25292271342693,47.761255193429946,-112.98463499534874,98.30495714706288,-2.66216185886937e-15,-8.621420813785265e-16,-3.2214039424504583e-15,39.05850794627852,-135.51969951322837,-12.807048786030638,-27.455262238290317,138.2015848280913,76.47102046084385,1.6493427347049575e-15,-5.88932346757157e-16,2.9312059783807084e-16,-5.002555533664143,-157.4836930557664,-11.879011408689706,12.266632614024845,-162.89369938626547,21.743684606875554,-4.840142843031864e-16,4.727357875543792e-15,3.2717592074634314e-16,-1.9908741324651336,-70.41766061098161,0.7080484453185476,-0.23847628996832052,172.70849690072177,-0.24985687558708133,-6.406366134801139e-16,-1.2484974392272943e-15,-1.0275646395948937e-15
6,15.019781966214957,2.7442072961260684,174.03467033026726,42.25587734166866,67.65579018135824,15.450543094567292,-11.907529388493856,-101.91790284805295,164.2061981581637,-77.94018322477683,130.39022143723625,-4.727395402865873,42.17629947175716,-117.99544600225462,100.40051254004453,1.7088352770468468e-15,1.944671453513211e-15,-3.861723511149478e-16,39.053637861863876,-135.93669464824626,-11.423889138786025,-26.354762479231486,138.9194348537954,76.38446730795103,-1.2024510106605918e-15,-1.9124946179085154e-16,-1.5579969680957342e-15,-5.3194107046950565,-157.60156461280624,-12.677312865690302,12.155134515670822,-162.6902685046997,20.312672057242683,-1.0744907193376819e-16,2.304399842741243e-15,-7.326322041236217e-16,-5.287374369354834,-57.48909429120519,3.3612019711146957,-1.581536472007123,170.51752309758135,3.1199543508334115,2.9615294105959255e-16,-2.1565646212430367e-17,-9.682618406878385e-16
7,16.60639566345836,0.3369254209587145,174.5809478279815,39.70366938555419,72.92985589015142,11.098304837972686,-12.275515393120157,-100.34711176621832,169.4529062803332,-75.39692494937046,138.59529773165576,6.682993128096011,40.47070528886678,-121.52122818711872,101.92947050487084,-4.275029694580985e-15,5.817388777827044e-16,1.0516369812209337e-16,38.77582500063257,-137.54097055444677,-6.587876671549437,-24.258095601885643,140.8258114682838,76.71631837098413,2.7854812594547376e-16,-1.2667644794559656e-16,4.012815562264271e-16,-5.8844308271034125,-156.9285636422819,-13.533241285807199,13.629342359284234,-160.82849817027775,19.392208100710693,-8.146837806883245e-16,-2.4063415162283433e-15,-3.435590488402907e-15,1.6955862591798565,5.457580193457165,17.207712611298394,13.609068074029203,-105.4850404816125,-13.558860586845801,7.011900882601142e-16,1.4842794717398797e-16,2.7965958842649813e-15
8,17.22712641737745,-1.1990509475400706,174.99920990451804,38.56326738924523,75.36228682728645,9.24753362097487,-12.610207656230402,-100.20634539742146,170.18143692744326,-77.14541766299168,130.01962890581748,-0.18288528609461682,43.43536396658034,-121.31166615446095,102.78285036886435,-2.2001350874745537e-16,1.0264394687455067e-15,-2.454208616772336e-16,40.314864912798186,-137.56858933031924,-4.198571972784765,-25.077322027251302,140.22207848056178,78.49039868511889,8.79585339188521e-17,-9.574696731888796e-17,7.373648822958087e-16,-5.867542745606417,-158.07024324644402,-14.247519975183915,14.708540056379947,-160.43695894120356,20.16045460863203,-1.1279995368089354e-15,-4.3089900694423225e-16,1.8072517787647846e-15,-5.225240937191593,-20.584258005503802,13.630744360034777,27.811690371560175,-109.04509723700308,-5.4305840550690885,-2.580979196272328e-15,1.3537207049118335e-15,1.5314022110233652e-15
9,17.514560452920705,-1.7471269061247723,175.1745507418385,38.19802524399596,75.89310784290835,8.833432817673335,-13.350551208816057,-99.77945721431024,172.88608100224653,-79.86741300888579,108.13073758837554,-21.18754034335742,46.459516336616424,-116.32604804064832,100.0923184158017,-3.8688892664944594e-16,3.885792088299589e-16,-1.0971572078051343e-15,42.011530029056516,-137.01591290584244,-3.3709145881241347,-25.99446515761972,139.11541691836763,79.72833787823771,-6.011541732956834e-16,-3.6263588455398746e-17,-2.819968964194237e-15,-5.8738992594281685,-157.97739676825793,-14.198523032898477,15.70007528835817,-159.986750728117,21.267581656170975,2.2453738303311265e-15,1.8290306381081604e-15,3.0045035965941975e-15,-6.925076235144507,-39.444512260359495,8.337552334456975,7.731998221050963,-166.28057908225944,18.036036086069057,2.9936052467299507e-16,1.7263021612347425e-15,1.850013212811809e-15
