# model_type: yolov8-nano
timestamp,frame_id,fps,latency_ms,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783582214.630,1,51.7,0.0,0.58,-0.023,-0.289,-0.087,+0.009,-0.309,-0.078,-0.056,-0.311,-0.080,+0.027,-0.310,+0.047,-0.108,-0.292,-0.065,+0.101,-0.085,+0.081,-0.203,-0.116,-0.059,+0.148,+0.079,+0.047,-0.193,+0.029,-0.093,+0.144,+0.076,+0.040,-0.199,+0.058,+0.031,-0.000,+0.064,+0.003,+0.000,-0.064,-0.003,-0.019,+0.062,+0.008,-0.071,-0.029,-0.042,-0.050,+0.063,+0.002,+0.143,-0.018,+0.091
1783582214.663,2,25.0,1783582126683.5,0.58,+0.005,-0.307,-0.081,+0.036,-0.327,-0.073,-0.028,-0.329,-0.074,+0.054,-0.328,+0.052,-0.081,-0.311,-0.059,+0.128,-0.103,+0.087,-0.176,-0.135,-0.053,+0.175,+0.061,+0.053,-0.166,+0.011,-0.087,+0.171,+0.058,+0.045,-0.171,+0.039,+0.035,+0.026,+0.044,+0.008,-0.026,-0.044,-0.008,+0.008,+0.043,+0.013,-0.043,-0.048,-0.038,-0.025,+0.047,+0.014,+0.169,-0.036,+0.096
1783582214.684,3,56.3,0.0,0.58,+0.031,-0.325,-0.073,+0.062,-0.345,-0.065,-0.002,-0.347,-0.066,+0.080,-0.346,+0.060,-0.054,-0.329,-0.052,+0.154,-0.121,+0.094,-0.150,-0.153,-0.044,+0.201,+0.043,+0.061,-0.140,-0.007,-0.079,+0.197,+0.040,+0.054,-0.146,+0.022,+0.043,+0.053,+0.025,+0.011,-0.053,-0.025,-0.011,+0.035,+0.025,+0.022,-0.017,-0.066,-0.031,+0.002,+0.027,+0.018,+0.194,-0.055,+0.104
1783582214.717,4,34.7,0.0,0.58,+0.057,-0.343,-0.066,+0.088,-0.363,-0.058,+0.024,-0.365,-0.058,+0.106,-0.364,+0.069,-0.027,-0.347,-0.044,+0.181,-0.139,+0.102,-0.124,-0.171,-0.036,+0.227,+0.025,+0.069,-0.114,-0.025,-0.071,+0.223,+0.022,+0.063,-0.120,+0.005,+0.052,+0.080,+0.005,+0.013,-0.080,-0.005,-0.013,+0.061,+0.007,+0.031,+0.009,-0.085,-0.024,+0.029,+0.008,+0.021,+0.219,-0.073,+0.113
1783582214.748,5,25.8,1783582126685.3,0.59,+0.057,-0.342,-0.065,+0.088,-0.363,-0.057,+0.024,-0.365,-0.058,+0.106,-0.363,+0.070,-0.028,-0.346,-0.043,+0.180,-0.139,+0.103,-0.124,-0.170,-0.035,+0.227,+0.025,+0.069,-0.114,-0.025,-0.071,+0.222,+0.022,+0.063,-0.121,+0.006,+0.054,+0.080,+0.005,+0.013,-0.080,-0.005,-0.013,+0.060,+0.008,+0.034,+0.009,-0.084,-0.022,+0.032,+0.004,+0.011,+0.219,-0.072,+0.115
1783582214.782,6,46.5,0.0,0.59,+0.056,-0.342,-0.065,+0.087,-0.362,-0.057,+0.024,-0.364,-0.058,+0.105,-0.363,+0.071,-0.028,-0.346,-0.043,+0.180,-0.138,+0.103,-0.124,-0.170,-0.035,+0.226,+0.025,+0.069,-0.114,-0.025,-0.070,+0.220,+0.022,+0.063,-0.123,+0.006,+0.056,+0.080,+0.005,+0.013,-0.080,-0.005,-0.013,+0.059,+0.009,+0.037,+0.008,-0.084,-0.021,+0.034,+0.000,+0.000,+0.220,-0.072,+0.116
1783582214.815,7,24.0,1783582126685.9,0.59,+0.056,-0.341,-0.065,+0.087,-0.362,-0.056,+0.023,-0.364,-0.058,+0.104,-0.362,+0.072,-0.028,-0.345,-0.042,+0.180,-0.138,+0.103,-0.124,-0.169,-0.035,+0.225,+0.025,+0.069,-0.115,-0.025,-0.070,+0.219,+0.022,+0.063,-0.124,+0.007,+0.059,+0.080,+0.005,+0.013,-0.080,-0.005,-0.013,+0.058,+0.010,+0.040,+0.007,-0.083,-0.019,+0.036,-0.004,-0.011,+0.220,-0.071,+0.118
1783582214.846,8,33.9,0.0,0.59,+0.059,-0.343,-0.072,+0.090,-0.364,-0.063,+0.026,-0.366,-0.065,+0.108,-0.365,+0.065,-0.025,-0.347,-0.049,+0.183,-0.140,+0.097,-0.121,-0.171,-0.042,+0.228,+0.023,+0.065,-0.113,-0.027,-0.076,+0.221,+0.020,+0.057,-0.121,+0.004,+0.051,+0.082,+0.004,+0.012,-0.082,-0.004,-0.012,+0.060,+0.008,+0.033,+0.009,-0.085,-0.024,+0.039,-0.006,-0.017,+0.223,-0.073,+0.111
1783582214.884,9,30.2,1783582126687.9,0.59,+0.062,-0.345,-0.079,+0.093,-0.366,-0.070,+0.029,-0.368,-0.072,+0.111,-0.367,+0.058,-0.023,-0.350,-0.055,+0.185,-0.142,+0.091,-0.119,-0.174,-0.049,+0.231,+0.021,+0.060,-0.111,-0.029,-0.082,+0.223,+0.018,+0.051,-0.118,+0.001,+0.044,+0.084,+0.004,+0.010,-0.084,-0.004,-0.010,+0.063,+0.005,+0.026,+0.011,-0.087,-0.029,+0.041,-0.008,-0.023,+0.225,-0.074,+0.103
1783582214.921,10,21.6,0.0,0.59,+0.063,-0.346,-0.082,+0.094,-0.367,-0.073,+0.030,-0.370,-0.074,+0.112,-0.368,+0.055,-0.022,-0.351,-0.057,+0.186,-0.143,+0.088,-0.119,-0.175,-0.051,+0.232,+0.020,+0.056,-0.110,-0.030,-0.084,+0.225,+0.017,+0.048,-0.118,+0.001,+0.042,+0.083,+0.004,+0.013,-0.083,-0.004,-0.013,+0.064,+0.004,+0.024,+0.012,-0.088,-0.031,+0.041,-0.009,-0.025,+0.225,-0.076,+0.100
