# model_type: yolov8-nano
timestamp,frame_id,fps,latency_ms,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783582220.941,1,33.0,0.0,0.58,+0.061,-0.343,-0.097,+0.094,-0.369,-0.087,+0.028,-0.373,-0.087,+0.115,-0.375,+0.044,-0.024,-0.359,-0.068,+0.189,-0.143,+0.078,-0.117,-0.178,-0.062,+0.230,+0.010,+0.029,-0.110,-0.034,-0.095,+0.223,+0.008,+0.023,-0.111,-0.007,+0.010,+0.089,-0.000,-0.000,-0.089,+0.000,+0.000,+0.067,+0.003,+0.009,+0.016,-0.086,-0.046,+0.040,-0.001,-0.002,+0.230,-0.072,+0.084
1783582220.986,2,24.8,1783582126673.1,0.58,+0.058,-0.341,-0.090,+0.091,-0.367,-0.081,+0.025,-0.370,-0.081,+0.112,-0.372,+0.050,-0.027,-0.356,-0.062,+0.186,-0.140,+0.084,-0.121,-0.175,-0.055,+0.227,+0.012,+0.033,-0.113,-0.031,-0.088,+0.221,+0.011,+0.031,-0.113,-0.006,+0.014,+0.086,+0.001,+0.004,-0.086,-0.001,-0.004,+0.063,+0.005,+0.014,+0.012,-0.083,-0.037,+0.037,+0.001,+0.003,+0.227,-0.069,+0.091
1783582221.019,3,27.2,0.0,0.58,+0.058,-0.341,-0.090,+0.091,-0.367,-0.081,+0.025,-0.370,-0.080,+0.111,-0.372,+0.050,-0.027,-0.356,-0.062,+0.186,-0.141,+0.085,-0.121,-0.175,-0.054,+0.227,+0.012,+0.033,-0.113,-0.031,-0.088,+0.221,+0.012,+0.032,-0.113,-0.006,+0.014,+0.086,+0.002,+0.005,-0.086,-0.002,-0.005,+0.063,+0.005,+0.014,+0.011,-0.083,-0.035,+0.036,+0.001,+0.003,+0.228,-0.070,+0.092
1783582221.045,4,48.0,0.0,0.58,+0.058,-0.341,-0.089,+0.090,-0.367,-0.081,+0.025,-0.370,-0.080,+0.111,-0.371,+0.049,-0.028,-0.356,-0.061,+0.186,-0.141,+0.086,-0.121,-0.175,-0.054,+0.226,+0.011,+0.032,-0.114,-0.031,-0.087,+0.221,+0.012,+0.034,-0.113,-0.005,+0.015,+0.086,+0.002,+0.005,-0.086,-0.002,-0.005,+0.063,+0.005,+0.013,+0.011,-0.083,-0.033,+0.036,+0.001,+0.003,+0.228,-0.070,+0.092
1783582221.102,5,18.4,1783582126722.1,0.58,+2.071,-1.797,-4.176,+2.104,-1.822,-4.168,+2.038,-1.826,-4.167,+2.124,-1.827,-4.038,+1.986,-1.812,-4.148,+2.199,-1.597,-4.000,+1.892,-1.631,-4.140,+2.239,-1.445,-4.055,+1.900,-1.487,-4.174,+2.233,-1.444,-4.053,+1.901,-1.461,-4.074,+2.099,-1.454,-4.081,-2.099,+1.454,+4.081,+2.077,-1.452,-4.075,+2.023,-1.539,-4.116,+2.049,-1.455,-4.083,+2.241,-1.527,-3.995
1783582221.135,6,26.4,1783582126688.7,0.58,+4.087,-3.255,-8.267,+4.119,-3.280,-8.260,+4.053,-3.284,-8.258,+4.139,-3.284,-8.130,+4.001,-3.270,-8.240,+4.214,-3.055,-8.093,+3.907,-3.088,-8.232,+4.255,-2.901,-8.144,+3.916,-2.945,-8.267,+4.247,-2.902,-8.146,+3.916,-2.919,-8.165,+4.114,-2.911,-8.172,-4.114,+2.911,+8.172,+4.093,-2.909,-8.167,+4.038,-2.997,-8.209,+4.064,-2.912,-8.174,+4.255,-2.985,-8.088
1783582221.169,7,28.2,0.0,0.58,+4.603,-3.626,-9.310,+4.635,-3.651,-9.302,+4.569,-3.655,-9.301,+4.656,-3.656,-9.172,+4.517,-3.641,-9.282,+4.730,-3.427,-9.136,+4.423,-3.460,-9.276,+4.771,-3.272,-9.184,+4.432,-3.317,-9.310,+4.762,-3.274,-9.189,+4.429,-3.288,-9.201,+4.631,-3.283,-9.214,-4.631,+3.283,+9.214,+4.610,-3.281,-9.210,+4.555,-3.368,-9.252,+4.581,-3.285,-9.219,+4.771,-3.356,-9.131
1783582221.191,8,44.8,1783582126661.6,0.58,+5.117,-3.996,-10.348,+5.149,-4.021,-10.341,+5.084,-4.025,-10.340,+5.170,-4.026,-10.210,+5.032,-4.011,-10.321,+5.245,-3.797,-10.175,+4.937,-3.830,-10.314,+5.286,-3.642,-10.222,+4.946,-3.687,-10.348,+5.276,-3.644,-10.227,+4.940,-3.656,-10.234,+5.145,-3.652,-10.252,-5.145,+3.652,+10.252,+5.125,-3.651,-10.248,+5.067,-3.738,-10.287,+5.095,-3.655,-10.260,+5.284,-3.726,-10.170
1783582221.214,9,41.4,0.0,0.58,+5.117,-3.996,-10.348,+5.149,-4.021,-10.341,+5.084,-4.025,-10.340,+5.170,-4.026,-10.209,+5.032,-4.011,-10.321,+5.245,-3.797,-10.174,+4.937,-3.830,-10.312,+5.287,-3.642,-10.222,+4.947,-3.686,-10.348,+5.276,-3.644,-10.227,+4.940,-3.655,-10.231,+5.145,-3.652,-10.252,-5.145,+3.652,+10.252,+5.124,-3.651,-10.248,+5.064,-3.736,-10.281,+5.096,-3.656,-10.262,+5.284,-3.726,-10.170
1783582221.232,10,50.1,0.0,0.58,+3.103,-2.540,-6.260,+3.136,-2.565,-6.253,+3.071,-2.569,-6.252,+3.157,-2.570,-6.121,+3.019,-2.554,-6.233,+3.233,-2.340,-6.085,+2.923,-2.374,-6.224,+3.274,-2.186,-6.135,+2.933,-2.230,-6.259,+3.263,-2.187,-6.139,+2.926,-2.198,-6.140,+3.131,-2.196,-6.164,-3.131,+2.196,+6.164,+3.110,-2.195,-6.161,+3.049,-2.278,-6.190,+3.084,-2.200,-6.176,+3.271,-2.269,-6.081
