# model_type: yolo26-nano
timestamp,frame_id,fps,latency_ms,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783582423.597,1,15.1,1783582392685.2,0.55,+1.786,-1.548,-3.638,+1.819,-1.569,-3.632,+1.761,-1.568,-3.632,+1.857,-1.583,-3.524,+1.731,-1.554,-3.624,+1.942,-1.388,-3.459,+1.625,-1.403,-3.529,+2.001,-1.226,-3.497,+1.690,-1.278,-3.531,+2.022,-1.226,-3.497,-6.911,+4.084,+11.770,+1.862,-1.227,-3.500,-1.862,+1.227,+3.500,+1.890,-1.254,-3.487,+1.718,-1.273,-3.511,+1.907,-1.225,-3.494,-1.778,+1.890,+5.360
1783582423.684,2,34.0,0.0,0.55,+3.714,-2.878,-7.368,+3.747,-2.898,-7.362,+3.689,-2.897,-7.361,+3.786,-2.912,-7.255,+3.659,-2.884,-7.353,+3.870,-2.717,-7.189,+3.553,-2.732,-7.259,+3.930,-2.555,-7.226,+3.554,-2.570,-7.270,+3.951,-2.555,-7.227,-6.286,+3.537,+10.309,+3.790,-2.556,-7.230,-3.790,+2.556,+7.230,+3.818,-2.583,-7.218,+3.643,-2.600,-7.236,+3.835,-2.554,-7.224,-1.807,+2.268,+6.422
1783582423.729,3,11.4,1783582392751.1,0.55,+3.739,-2.896,-7.363,+3.771,-2.916,-7.357,+3.714,-2.916,-7.356,+3.810,-2.930,-7.251,+3.684,-2.902,-7.348,+3.895,-2.736,-7.184,+3.579,-2.750,-7.255,+3.956,-2.572,-7.220,+3.579,-2.588,-7.265,+3.978,-2.572,-7.220,-5.849,+3.277,+9.633,+3.815,-2.574,-7.225,-3.815,+2.574,+7.225,+3.844,-2.601,-7.214,+3.670,-2.619,-7.233,+3.862,-2.572,-7.218,-1.782,+2.250,+6.427
1783582423.759,4,25.0,1783582392713.8,0.55,+4.098,-3.147,-8.063,+4.131,-3.166,-8.058,+4.074,-3.166,-8.057,+4.170,-3.180,-7.952,+4.044,-3.153,-8.049,+4.255,-2.986,-7.886,+3.939,-3.000,-7.956,+4.317,-2.822,-7.922,+3.940,-2.838,-7.966,+4.337,-2.822,-7.922,-6.150,+3.443,+10.127,+4.175,-2.824,-7.927,-4.175,+2.824,+7.927,+4.203,-2.851,-7.915,+4.031,-2.870,-7.937,+4.220,-2.821,-7.918,-1.423,+2.000,+5.726
1783582423.781,5,44.2,0.0,0.55,+4.011,-3.087,-7.893,+4.044,-3.106,-7.888,+3.987,-3.106,-7.888,+4.084,-3.120,-7.783,+3.957,-3.093,-7.879,+4.169,-2.926,-7.716,+3.853,-2.940,-7.787,+4.230,-2.762,-7.752,+3.856,-2.779,-7.801,+4.248,-2.762,-7.753,-6.471,+3.656,+10.731,+4.088,-2.764,-7.758,-4.088,+2.764,+7.758,+4.116,-2.791,-7.746,+3.942,-2.809,-7.764,+4.131,-2.760,-7.748,-1.510,+2.061,+5.895
1783582423.815,6,37.9,0.0,0.55,+3.525,-2.751,-6.947,+3.558,-2.769,-6.943,+3.502,-2.769,-6.942,+3.598,-2.784,-6.837,+3.471,-2.757,-6.933,+3.684,-2.589,-6.770,+3.367,-2.603,-6.842,+3.745,-2.425,-6.807,+3.371,-2.442,-6.855,+3.763,-2.425,-6.807,-3.240,+1.689,+5.038,+3.603,-2.427,-6.812,-3.603,+2.427,+6.812,+3.630,-2.453,-6.800,+3.458,-2.473,-6.823,+3.646,-2.424,-6.803,+0.691,+0.011,+0.142
1783582423.853,7,24.0,1783582392724.8,0.55,+1.092,-1.070,-2.230,+1.126,-1.089,-2.225,+1.069,-1.089,-2.225,+1.165,-1.104,-2.120,+1.038,-1.077,-2.215,+1.252,-0.908,-2.053,+0.935,-0.923,-2.125,+1.313,-0.745,-2.091,+0.940,-0.762,-2.139,+1.332,-0.745,-2.090,-3.016,+1.741,+5.065,+1.172,-0.746,-2.095,-1.172,+0.746,+2.095,+1.200,-0.772,-2.082,+1.031,-0.795,-2.116,+1.216,-0.743,-2.086,+1.087,-0.789,-2.104
1783582423.888,8,24.9,1783582392693.5,0.55,+1.092,-1.070,-2.228,+1.125,-1.089,-2.224,+1.068,-1.089,-2.224,+1.165,-1.104,-2.119,+1.038,-1.077,-2.214,+1.251,-0.908,-2.052,+0.935,-0.922,-2.124,+1.313,-0.745,-2.090,+0.940,-0.762,-2.139,+1.332,-0.744,-2.090,-3.279,+1.896,+5.511,+1.171,-0.746,-2.095,-1.171,+0.746,+2.095,+1.200,-0.772,-2.081,+1.033,-0.795,-2.118,+1.217,-0.743,-2.086,+1.048,-0.754,-2.115
1783582423.930,9,27.6,0.0,0.56,+0.729,-0.819,-1.523,+0.762,-0.837,-1.518,+0.705,-0.838,-1.517,+0.802,-0.853,-1.411,+0.675,-0.825,-1.508,+0.889,-0.657,-1.346,+0.572,-0.670,-1.417,+0.951,-0.493,-1.383,+0.576,-0.510,-1.431,+0.970,-0.492,-1.382,-4.419,+2.632,+7.597,+0.809,-0.495,-1.388,-0.809,+0.495,+1.388,+0.838,-0.520,-1.374,+0.672,-0.545,-1.417,+0.856,-0.491,-1.379,+0.686,-0.502,-1.410
1783582423.956,10,28.7,0.0,0.56,+0.367,-0.567,-0.817,+0.400,-0.586,-0.811,+0.342,-0.586,-0.810,+0.438,-0.602,-0.704,+0.312,-0.574,-0.802,+0.526,-0.405,-0.640,+0.208,-0.419,-0.710,+0.588,-0.241,-0.675,+0.212,-0.258,-0.724,+0.609,-0.240,-0.674,-5.559,+3.367,+9.682,+0.446,-0.243,-0.682,-0.446,+0.243,+0.682,+0.477,-0.269,-0.667,+0.312,-0.295,-0.716,+0.495,-0.239,-0.672,+0.324,-0.251,-0.704
