# model_type: yolo26-nano
timestamp,frame_id,fps,latency_ms,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783582428.441,1,40.3,0.0,0.56,+4.051,-3.091,-7.913,+4.086,-3.113,-7.909,+4.026,-3.113,-7.909,+4.122,-3.129,-7.800,+3.991,-3.101,-7.896,+4.207,-2.930,-7.738,+3.892,-2.947,-7.803,+4.267,-2.772,-7.780,+3.900,-2.787,-7.823,+4.278,-2.772,-7.780,+1.272,-1.114,-3.031,+4.126,-2.772,-7.780,-4.126,+2.772,+7.780,+4.147,-2.800,-7.773,+3.975,-2.816,-7.779,+4.161,-2.771,-7.778,+2.307,-1.310,-3.346
1783582428.471,2,39.7,0.0,0.56,+3.618,-2.793,-7.076,+3.652,-2.815,-7.072,+3.592,-2.814,-7.072,+3.689,-2.831,-6.962,+3.557,-2.803,-7.059,+3.773,-2.632,-6.901,+3.457,-2.649,-6.965,+3.834,-2.474,-6.943,+3.467,-2.489,-6.987,+3.846,-2.474,-6.943,+1.712,-1.365,-3.765,+3.692,-2.473,-6.943,-3.692,+2.473,+6.943,+3.713,-2.501,-6.934,+3.540,-2.517,-6.940,+3.728,-2.473,-6.940,+0.917,-0.183,-0.294
1783582428.514,3,32.4,1783582392736.3,0.56,+2.637,-2.118,-5.183,+2.672,-2.141,-5.179,+2.611,-2.140,-5.179,+2.708,-2.157,-5.069,+2.577,-2.129,-5.167,+2.793,-1.957,-5.007,+2.476,-1.974,-5.071,+2.853,-1.799,-5.050,+2.487,-1.815,-5.094,+2.866,-1.799,-5.050,-2.592,+1.377,+4.067,+2.711,-1.799,-5.050,-2.711,+1.799,+5.050,+2.732,-1.826,-5.040,+2.560,-1.843,-5.048,+2.747,-1.798,-5.047,-3.097,+3.104,+8.822
1783582428.546,4,20.3,1783582392684.4,0.56,+1.656,-1.444,-3.290,+1.691,-1.466,-3.286,+1.630,-1.466,-3.286,+1.727,-1.483,-3.175,+1.597,-1.455,-3.274,+1.812,-1.282,-3.113,+1.494,-1.300,-3.177,+1.873,-1.125,-3.157,+1.506,-1.141,-3.202,+1.887,-1.125,-3.157,-6.895,+4.120,+11.899,+1.731,-1.125,-3.157,-1.731,+1.125,+3.157,+1.752,-1.152,-3.146,+1.580,-1.169,-3.156,+1.766,-1.123,-3.153,-7.111,+6.390,+17.937
1783582428.576,5,39.2,0.0,0.56,+1.110,-1.068,-2.236,+1.144,-1.091,-2.231,+1.084,-1.090,-2.232,+1.181,-1.107,-2.122,+1.051,-1.079,-2.221,+1.266,-0.907,-2.059,+0.949,-0.924,-2.124,+1.327,-0.749,-2.102,+0.959,-0.765,-2.146,+1.341,-0.749,-2.102,-9.797,+5.971,+17.169,+1.185,-0.749,-2.103,-1.185,+0.749,+2.103,+1.205,-0.777,-2.093,+1.036,-0.795,-2.107,+1.219,-0.748,-2.098,-6.743,+5.973,+16.767
1783582428.591,6,40.5,0.0,0.56,+0.564,-0.693,-1.182,+0.598,-0.716,-1.177,+0.538,-0.715,-1.178,+0.635,-0.732,-1.068,+0.505,-0.704,-1.168,+0.720,-0.531,-1.006,+0.403,-0.549,-1.071,+0.781,-0.373,-1.046,+0.412,-0.389,-1.091,+0.796,-0.373,-1.047,-12.699,+7.821,+22.439,+0.639,-0.374,-1.049,-0.639,+0.374,+1.049,+0.659,-0.402,-1.039,+0.492,-0.421,-1.057,+0.673,-0.372,-1.044,-6.375,+5.556,+15.597
1783582428.610,7,70.0,0.0,0.56,+0.017,-0.317,-0.128,+0.052,-0.341,-0.122,-0.008,-0.340,-0.124,+0.089,-0.357,-0.014,-0.040,-0.329,-0.115,+0.174,-0.156,+0.048,-0.142,-0.174,-0.018,+0.235,+0.003,+0.009,-0.134,-0.013,-0.035,+0.250,+0.003,+0.009,-15.601,+9.672,+27.709,+0.093,+0.002,+0.005,-0.093,-0.002,-0.005,+0.113,-0.027,+0.014,-0.052,-0.047,-0.008,+0.126,+0.004,+0.011,-6.007,+5.140,+14.426
1783582428.637,8,39.8,1783582392708.7,0.55,+1.754,-1.512,-3.481,+1.788,-1.535,-3.475,+1.728,-1.535,-3.476,+1.826,-1.552,-3.366,+1.696,-1.524,-3.467,+1.911,-1.350,-3.305,+1.595,-1.368,-3.371,+1.972,-1.191,-3.342,+1.602,-1.207,-3.387,+1.985,-1.191,-3.342,-11.604,+7.078,+20.328,+1.829,-1.192,-3.347,-1.829,+1.192,+3.347,+1.850,-1.221,-3.337,+1.686,-1.242,-3.364,+1.862,-1.190,-3.341,-1.279,+1.369,+3.844
1783582428.657,9,39.7,0.0,0.55,+3.491,-2.706,-6.834,+3.524,-2.729,-6.827,+3.465,-2.729,-6.828,+3.563,-2.747,-6.718,+3.432,-2.719,-6.819,+3.648,-2.545,-6.657,+3.331,-2.562,-6.723,+3.708,-2.384,-6.693,+3.338,-2.401,-6.739,+3.721,-2.385,-6.693,-7.607,+4.484,+12.946,+3.566,-2.386,-6.698,-3.566,+2.386,+6.698,+3.586,-2.415,-6.688,+3.424,-2.438,-6.719,+3.599,-2.384,-6.692,+3.449,-2.401,-6.739
1783582428.678,10,57.3,0.0,0.55,+5.226,-3.900,-10.185,+5.260,-3.923,-10.178,+5.200,-3.923,-10.178,+5.299,-3.941,-10.068,+5.167,-3.913,-10.169,+5.383,-3.738,-10.007,+5.066,-3.756,-10.072,+5.444,-3.578,-10.043,+5.074,-3.594,-10.089,+5.455,-3.578,-10.043,-5.451,+3.033,+8.860,+5.301,-3.580,-10.048,-5.301,+3.580,+10.048,+5.322,-3.608,-10.038,+5.161,-3.632,-10.072,+5.334,-3.578,-10.043,+5.184,-3.594,-10.087
