# model_type: yolov8-nano
timestamp,frame_id,fps,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783500322.466,1,8.3,0.80,-0.066,-0.339,-0.052,-0.034,-0.376,-0.049,-0.093,-0.368,-0.044,+0.030,-0.380,-0.000,-0.107,-0.353,-0.043,+0.124,-0.198,+0.131,-0.194,-0.188,+0.050,+0.246,-0.008,+0.084,-0.231,-0.044,-0.062,+0.560,+0.247,+0.692,-0.205,-0.042,-0.054,+0.076,+0.010,+0.028,-0.076,-0.010,-0.028,+0.079,-0.032,+0.017,-0.029,-0.058,+0.013,+0.123,-0.012,+0.062,+0.176,-0.070,+0.103
1783500322.576,2,7.6,0.80,-0.065,-0.338,-0.052,-0.036,-0.377,-0.044,-0.093,-0.368,-0.043,+0.030,-0.381,+0.005,-0.108,-0.352,-0.042,+0.124,-0.198,+0.130,-0.194,-0.187,+0.050,+0.244,-0.009,+0.078,-0.232,-0.044,-0.062,+0.499,+0.181,+0.507,-0.204,-0.042,-0.055,+0.076,+0.010,+0.028,-0.076,-0.010,-0.028,+0.078,-0.032,+0.017,-0.030,-0.058,+0.014,+0.122,-0.015,+0.054,+0.175,-0.070,+0.101
1783500322.645,3,9.9,0.80,-0.066,-0.338,-0.052,-0.038,-0.377,-0.042,-0.095,-0.367,-0.043,+0.028,-0.382,+0.009,-0.109,-0.352,-0.042,+0.123,-0.199,+0.128,-0.194,-0.187,+0.050,+0.242,-0.011,+0.073,-0.233,-0.044,-0.061,+0.438,+0.115,+0.324,-0.206,-0.042,-0.054,+0.076,+0.010,+0.029,-0.076,-0.010,-0.029,+0.078,-0.032,+0.017,-0.031,-0.057,+0.015,+0.124,-0.015,+0.052,+0.174,-0.071,+0.099
1783500322.726,4,15.7,0.80,-0.067,-0.337,-0.051,-0.039,-0.377,-0.039,-0.096,-0.366,-0.042,+0.027,-0.383,+0.013,-0.110,-0.351,-0.042,+0.123,-0.199,+0.127,-0.194,-0.187,+0.050,+0.240,-0.012,+0.068,-0.233,-0.044,-0.060,+0.377,+0.051,+0.142,-0.206,-0.042,-0.054,+0.076,+0.010,+0.029,-0.076,-0.010,-0.029,+0.077,-0.032,+0.017,-0.032,-0.057,+0.015,+0.124,-0.016,+0.049,+0.172,-0.071,+0.096
1783500322.804,5,13.1,0.80,-0.067,-0.337,-0.052,-0.039,-0.377,-0.039,-0.096,-0.366,-0.041,+0.026,-0.384,+0.017,-0.111,-0.351,-0.040,+0.123,-0.199,+0.126,-0.194,-0.186,+0.051,+0.241,-0.013,+0.065,-0.234,-0.044,-0.059,+0.326,-0.007,-0.019,-0.206,-0.043,-0.055,+0.076,+0.010,+0.029,-0.076,-0.010,-0.029,+0.076,-0.032,+0.017,-0.032,-0.057,+0.015,+0.124,-0.019,+0.040,+0.172,-0.072,+0.095
1783500322.877,6,14.1,0.80,-0.067,-0.337,-0.052,-0.038,-0.377,-0.041,-0.096,-0.366,-0.042,+0.026,-0.385,+0.017,-0.111,-0.351,-0.040,+0.124,-0.199,+0.126,-0.194,-0.186,+0.052,+0.243,-0.013,+0.064,-0.233,-0.044,-0.060,+0.327,-0.008,-0.021,-0.206,-0.043,-0.057,+0.076,+0.010,+0.029,-0.076,-0.010,-0.029,+0.075,-0.033,+0.016,-0.032,-0.057,+0.014,+0.124,-0.022,+0.034,+0.171,-0.073,+0.094
1783500322.920,7,14.8,0.80,-0.067,-0.338,-0.051,-0.038,-0.378,-0.041,-0.096,-0.367,-0.041,+0.025,-0.385,+0.017,-0.111,-0.351,-0.039,+0.124,-0.200,+0.126,-0.194,-0.186,+0.052,+0.245,-0.012,+0.064,-0.232,-0.044,-0.060,+0.328,-0.008,-0.021,-0.206,-0.043,-0.057,+0.076,+0.011,+0.030,-0.076,-0.011,-0.030,+0.074,-0.033,+0.018,-0.032,-0.057,+0.014,+0.122,-0.023,+0.032,+0.173,-0.072,+0.094
1783500322.952,8,35.9,0.80,-0.066,-0.339,-0.051,-0.037,-0.379,-0.041,-0.096,-0.367,-0.041,+0.026,-0.386,+0.017,-0.111,-0.351,-0.039,+0.124,-0.200,+0.126,-0.194,-0.186,+0.052,+0.249,-0.012,+0.064,-0.231,-0.044,-0.061,+0.330,-0.007,-0.020,-0.204,-0.043,-0.057,+0.076,+0.011,+0.030,-0.076,-0.011,-0.030,+0.073,-0.033,+0.019,-0.032,-0.057,+0.013,+0.120,-0.024,+0.031,+0.173,-0.072,+0.094
1783500322.979,9,28.2,0.81,-0.066,-0.341,-0.050,-0.037,-0.379,-0.042,-0.095,-0.368,-0.041,+0.026,-0.386,+0.016,-0.111,-0.351,-0.039,+0.125,-0.200,+0.126,-0.193,-0.185,+0.052,+0.252,-0.011,+0.065,-0.230,-0.043,-0.061,+0.331,-0.007,-0.020,-0.204,-0.043,-0.057,+0.076,+0.011,+0.030,-0.076,-0.011,-0.030,+0.072,-0.034,+0.020,-0.030,-0.057,+0.012,+0.118,-0.026,+0.030,+0.175,-0.071,+0.094
1783500323.001,10,55.5,0.81,-0.066,-0.342,-0.050,-0.037,-0.380,-0.043,-0.095,-0.369,-0.042,+0.026,-0.386,+0.015,-0.111,-0.351,-0.039,+0.125,-0.200,+0.126,-0.192,-0.185,+0.052,+0.254,-0.011,+0.066,-0.230,-0.043,-0.061,+0.332,-0.007,-0.019,-0.204,-0.043,-0.058,+0.075,+0.011,+0.030,-0.075,-0.011,-0.030,+0.071,-0.035,+0.021,-0.029,-0.058,+0.012,+0.115,-0.027,+0.030,+0.176,-0.071,+0.094
1783500323.041,11,30.9,0.81,-0.066,-0.343,-0.050,-0.037,-0.381,-0.043,-0.095,-0.370,-0.042,+0.026,-0.386,+0.014,-0.110,-0.351,-0.039,+0.125,-0.200,+0.127,-0.192,-0.185,+0.051,+0.256,-0.011,+0.067,-0.229,-0.043,-0.062,+0.332,-0.006,-0.018,-0.204,-0.043,-0.058,+0.075,+0.011,+0.030,-0.075,-0.011,-0.030,+0.069,-0.036,+0.022,-0.028,-0.058,+0.011,+0.112,-0.028,+0.030,+0.177,-0.070,+0.093
1783500323.089,12,22.9,0.81,-0.065,-0.343,-0.050,-0.036,-0.381,-0.043,-0.094,-0.370,-0.042,+0.026,-0.387,+0.013,-0.109,-0.352,-0.040,+0.125,-0.200,+0.127,-0.191,-0.185,+0.052,+0.258,-0.011,+0.068,-0.229,-0.043,-0.062,+0.332,-0.006,-0.017,-0.203,-0.043,-0.058,+0.075,+0.011,+0.030,-0.075,-0.011,-0.030,+0.069,-0.039,+0.020,-0.027,-0.057,+0.012,+0.110,-0.031,+0.031,+0.177,-0.068,+0.092
1783500323.161,13,15.8,0.80,-0.063,-0.344,-0.050,-0.034,-0.382,-0.043,-0.092,-0.371,-0.042,+0.028,-0.387,+0.013,-0.107,-0.352,-0.041,+0.126,-0.201,+0.127,-0.188,-0.185,+0.051,+0.261,-0.012,+0.069,-0.228,-0.043,-0.062,+0.333,-0.007,-0.018,-0.202,-0.042,-0.058,+0.074,+0.011,+0.030,-0.074,-0.011,-0.030,+0.069,-0.043,+0.022,-0.028,-0.057,+0.012,+0.109,-0.034,+0.033,+0.172,-0.066,+0.092
1783500323.199,14,18.0,0.81,-0.059,-0.345,-0.050,-0.029,-0.383,-0.046,-0.087,-0.373,-0.043,+0.033,-0.387,+0.015,-0.102,-0.353,-0.043,+0.128,-0.202,+0.126,-0.184,-0.186,+0.051,+0.268,-0.016,+0.068,-0.225,-0.044,-0.062,+0.398,+0.046,+0.130,-0.199,-0.041,-0.059,+0.074,+0.011,+0.030,-0.074,-0.011,-0.030,+0.072,-0.046,+0.021,-0.025,-0.055,+0.012,+0.107,-0.039,+0.033,+0.169,-0.063,+0.091
1783500323.296,15,18.3,0.81,-0.054,-0.347,-0.050,-0.023,-0.384,-0.048,-0.082,-0.374,-0.044,+0.038,-0.388,+0.017,-0.097,-0.355,-0.044,+0.129,-0.203,+0.125,-0.180,-0.186,+0.050,+0.274,-0.020,+0.068,-0.222,-0.044,-0.063,+0.463,+0.098,+0.278,-0.196,-0.040,-0.059,+0.073,+0.011,+0.030,-0.073,-0.011,-0.030,+0.075,-0.050,+0.020,-0.023,-0.054,+0.011,+0.105,-0.044,+0.032,+0.166,-0.060,+0.090
1783500323.354,16,11.1,1.60,-0.048,-0.349,-0.050,-0.015,-0.385,-0.051,-0.075,-0.377,-0.045,+0.044,-0.388,+0.021,-0.091,-0.356,-0.046,+0.130,-0.206,+0.125,-0.176,-0.186,+0.049,+0.334,+0.002,+0.304,-0.220,-0.045,-0.057,+0.628,+0.133,+0.514,-0.191,-0.040,-0.059,+0.073,+0.011,+0.030,-0.073,-0.011,-0.030,+0.086,-0.061,+0.025,-0.025,-0.062,+0.011,+0.117,-0.051,+0.044,+0.156,-0.066,+0.088
1783500323.428,17,15.8,1.61,-0.041,-0.352,-0.048,-0.007,-0.386,-0.053,-0.068,-0.379,-0.045,+0.052,-0.388,+0.027,-0.084,-0.357,-0.046,+0.132,-0.208,+0.125,-0.171,-0.185,+0.049,+0.406,+0.013,+0.562,-0.216,-0.046,-0.054,+0.934,+0.090,+1.040,-0.185,-0.040,-0.058,+0.073,+0.011,+0.030,-0.073,-0.011,-0.030,+0.099,-0.070,+0.038,-0.020,-0.073,+0.012,+0.134,-0.061,+0.056,+0.157,-0.078,+0.090
1783500323.537,18,10.3,1.60,-0.039,-0.354,-0.047,-0.004,-0.387,-0.053,-0.065,-0.381,-0.046,+0.054,-0.388,+0.033,-0.083,-0.358,-0.046,+0.132,-0.211,+0.125,-0.172,-0.182,+0.048,+0.605,-0.011,+1.257,-0.217,-0.046,-0.045,+3.576,-1.147,+6.358,-0.185,-0.041,-0.052,+0.074,+0.011,+0.030,-0.074,-0.011,-0.030,+0.114,-0.078,+0.049,-0.018,-0.084,+0.014,+0.152,-0.070,+0.067,+0.158,-0.090,+0.092
1783500323.672,19,9.2,1.60,-0.038,-0.353,-0.047,-0.003,-0.387,-0.051,-0.065,-0.382,-0.045,+0.054,-0.387,+0.038,-0.084,-0.358,-0.045,+0.133,-0.217,+0.125,-0.174,-0.177,+0.047,+0.869,-0.122,+2.058,-0.217,-0.045,-0.045,+7.004,-3.564,+13.140,-0.187,-0.038,-0.052,+0.075,+0.011,+0.030,-0.075,-0.011,-0.030,+0.121,-0.088,+0.056,-0.022,-0.099,+0.016,+0.152,-0.079,+0.070,+0.153,-0.107,+0.092
1783500323.733,20,9.4,1.65,-0.040,-0.352,-0.047,-0.005,-0.387,-0.048,-0.068,-0.382,-0.044,+0.052,-0.386,+0.043,-0.089,-0.357,-0.042,+0.131,-0.222,+0.126,-0.178,-0.172,+0.046,+1.132,-0.202,+2.844,-0.217,-0.046,-0.044,+9.493,-5.031,+17.749,-0.190,-0.040,-0.049,+0.077,+0.011,+0.030,-0.077,-0.011,-0.030,+0.137,-0.095,+0.071,-0.029,-0.111,+0.017,+0.170,-0.084,+0.081,+0.140,-0.120,+0.085
1783500323.836,21,9.8,1.60,-0.044,-0.349,-0.048,-0.010,-0.386,-0.045,-0.073,-0.380,-0.044,+0.047,-0.386,+0.041,-0.096,-0.356,-0.038,+0.130,-0.222,+0.124,-0.182,-0.168,+0.043,+1.196,-0.234,+2.940,-0.219,-0.047,-0.043,+11.547,-5.543,+21.617,-0.193,-0.043,-0.044,+0.078,+0.011,+0.031,-0.078,-0.011,-0.031,+0.145,-0.096,+0.075,-0.023,-0.112,+0.016,+0.179,-0.091,+0.070,+0.150,-0.122,+0.081
1783500323.879,22,17.6,1.60,-0.048,-0.346,-0.050,-0.016,-0.384,-0.044,-0.079,-0.377,-0.045,+0.041,-0.386,+0.037,-0.104,-0.356,-0.033,+0.127,-0.224,+0.121,-0.187,-0.166,+0.040,+1.247,-0.256,+3.017,-0.224,-0.047,-0.039,+13.460,-5.977,+25.195,-0.197,-0.046,-0.039,+0.079,+0.011,+0.032,-0.079,-0.011,-0.032,+0.151,-0.097,+0.071,-0.024,-0.111,+0.013,+0.184,-0.093,+0.057,+0.149,-0.119,+0.072
1783500323.997,23,19.6,1.55,-0.047,-0.344,-0.051,-0.016,-0.383,-0.044,-0.078,-0.375,-0.044,+0.042,-0.385,+0.025,-0.106,-0.356,-0.027,+0.129,-0.224,+0.116,-0.185,-0.168,+0.039,+1.137,-0.222,+2.567,-0.224,-0.048,-0.039,+11.175,-4.748,+20.452,-0.192,-0.046,-0.045,+0.078,+0.012,+0.034,-0.078,-0.012,-0.034,+0.144,-0.101,+0.060,-0.017,-0.111,+0.012,+0.175,-0.094,+0.048,+0.157,-0.121,+0.059
1783500324.116,24,7.4,0.75,-0.045,-0.342,-0.048,-0.014,-0.381,-0.044,-0.077,-0.372,-0.041,+0.044,-0.383,+0.014,-0.107,-0.356,-0.019,+0.131,-0.219,+0.108,-0.181,-0.173,+0.040,+0.936,-0.085,+1.923,-0.226,-0.049,-0.030,+7.849,-2.341,+13.750,-0.185,-0.047,-0.042,+0.077,+0.011,+0.031,-0.077,-0.011,-0.031,+0.136,-0.100,+0.059,-0.009,-0.104,+0.011,+0.169,-0.094,+0.047,+0.164,-0.113,+0.052
1783500324.234,25,7.8,0.72,-0.043,-0.342,-0.044,-0.013,-0.381,-0.042,-0.076,-0.372,-0.036,+0.047,-0.382,+0.003,-0.106,-0.356,-0.012,+0.133,-0.214,+0.102,-0.177,-0.177,+0.042,+0.738,+0.058,+1.378,-0.230,-0.047,-0.022,+5.400,-0.859,+9.189,-0.181,-0.044,-0.040,+0.076,+0.009,+0.027,-0.076,-0.009,-0.027,+0.123,-0.091,+0.051,-0.000,-0.092,+0.012,+0.154,-0.087,+0.041,+0.177,-0.105,+0.050
1783500324.354,26,9.3,0.73,-0.043,-0.343,-0.040,-0.012,-0.381,-0.041,-0.075,-0.372,-0.033,+0.049,-0.381,-0.002,-0.104,-0.357,-0.008,+0.135,-0.212,+0.101,-0.175,-0.181,+0.046,+0.668,+0.132,+1.297,-0.229,-0.044,-0.026,+3.269,-0.312,+5.282,-0.180,-0.039,-0.042,+0.076,+0.007,+0.019,-0.076,-0.007,-0.019,+0.112,-0.080,+0.050,-0.001,-0.083,+0.015,+0.139,-0.076,+0.041,+0.175,-0.098,+0.047
1783500324.418,27,10.3,0.77,-0.041,-0.345,-0.037,-0.009,-0.381,-0.042,-0.072,-0.373,-0.031,+0.051,-0.382,+0.005,-0.100,-0.357,-0.008,+0.134,-0.211,+0.105,-0.173,-0.184,+0.050,+0.594,+0.194,+1.219,-0.227,-0.042,-0.030,+1.144,+0.232,+1.374,-0.179,-0.033,-0.045,+0.076,+0.005,+0.013,-0.076,-0.005,-0.013,+0.103,-0.069,+0.051,-0.001,-0.072,+0.019,+0.125,-0.065,+0.044,+0.173,-0.089,+0.049
1783500324.468,28,14.0,0.80,-0.041,-0.346,-0.034,-0.007,-0.381,-0.041,-0.070,-0.374,-0.032,+0.051,-0.383,+0.020,-0.098,-0.358,-0.011,+0.130,-0.211,+0.115,-0.174,-0.185,+0.054,+0.560,+0.211,+1.210,-0.222,-0.040,-0.034,+0.947,+0.298,+1.057,-0.180,-0.031,-0.038,+0.078,+0.002,+0.006,-0.078,-0.002,-0.006,+0.109,-0.062,+0.061,-0.008,-0.065,+0.024,+0.130,-0.057,+0.050,+0.159,-0.079,+0.060
1783500324.514,29,31.8,0.80,-0.041,-0.348,-0.034,-0.008,-0.382,-0.041,-0.069,-0.375,-0.036,+0.049,-0.384,+0.034,-0.097,-0.357,-0.016,+0.126,-0.212,+0.128,-0.178,-0.183,+0.055,+0.546,+0.215,+1.289,-0.218,-0.037,-0.040,+0.941,+0.314,+1.086,-0.183,-0.030,-0.032,+0.079,+0.001,+0.004,-0.079,-0.001,-0.004,+0.124,-0.057,+0.070,-0.015,-0.064,+0.029,+0.152,-0.047,+0.056,+0.151,-0.075,+0.068
1783500324.588,30,16.8,0.83,-0.038,-0.350,-0.036,-0.003,-0.383,-0.043,-0.064,-0.376,-0.043,+0.051,-0.385,+0.047,-0.092,-0.358,-0.021,+0.123,-0.214,+0.137,-0.178,-0.181,+0.053,+0.491,+0.129,+1.063,-0.212,-0.038,-0.047,+1.159,+0.222,+1.441,-0.181,-0.031,-0.031,+0.079,+0.001,+0.004,-0.079,-0.001,-0.004,+0.133,-0.068,+0.079,-0.014,-0.075,+0.029,+0.161,-0.055,+0.064,+0.156,-0.080,+0.088
1783500324.664,31,10.9,0.85,-0.037,-0.349,-0.037,-0.001,-0.381,-0.044,-0.062,-0.376,-0.046,+0.050,-0.385,+0.059,-0.090,-0.357,-0.026,+0.123,-0.218,+0.146,-0.178,-0.177,+0.050,+0.672,-0.040,+1.598,-0.210,-0.038,-0.048,+3.804,-1.716,+6.890,-0.182,-0.030,-0.034,+0.079,+0.002,+0.006,-0.079,-0.002,-0.006,+0.135,-0.074,+0.087,-0.016,-0.086,+0.030,+0.154,-0.060,+0.075,+0.154,-0.089,+0.106
1783500324.723,32,15.4,0.83,-0.037,-0.348,-0.041,-0.002,-0.381,-0.045,-0.061,-0.375,-0.050,+0.051,-0.385,+0.057,-0.089,-0.357,-0.032,+0.125,-0.224,+0.146,-0.176,-0.174,+0.043,+0.887,-0.203,+2.150,-0.209,-0.040,-0.051,+6.535,-3.467,+12.009,-0.182,-0.030,-0.039,+0.079,+0.004,+0.012,-0.079,-0.004,-0.012,+0.133,-0.085,+0.084,-0.018,-0.101,+0.026,+0.144,-0.069,+0.076,+0.153,-0.103,+0.115
1783500324.805,33,16.2,0.83,-0.038,-0.348,-0.046,-0.003,-0.382,-0.048,-0.063,-0.376,-0.052,+0.050,-0.386,+0.052,-0.089,-0.358,-0.037,+0.128,-0.228,+0.144,-0.174,-0.172,+0.036,+1.097,-0.340,+2.721,-0.211,-0.042,-0.055,+9.201,-5.207,+17.066,-0.185,-0.030,-0.049,+0.078,+0.006,+0.018,-0.078,-0.006,-0.018,+0.124,-0.090,+0.077,-0.017,-0.110,+0.019,+0.126,-0.076,+0.072,+0.158,-0.113,+0.119
1783500324.873,34,14.9,1.56,-0.042,-0.347,-0.050,-0.008,-0.382,-0.050,-0.068,-0.376,-0.053,+0.046,-0.387,+0.043,-0.093,-0.358,-0.040,+0.127,-0.232,+0.140,-0.176,-0.170,+0.031,+1.286,-0.421,+3.226,-0.216,-0.044,-0.051,+12.986,-6.766,+24.009,-0.189,-0.035,-0.051,+0.077,+0.009,+0.025,-0.077,-0.009,-0.025,+0.127,-0.091,+0.082,-0.015,-0.114,+0.013,+0.132,-0.080,+0.076,+0.163,-0.118,+0.123
1783500324.916,35,15.6,1.62,-0.047,-0.345,-0.052,-0.014,-0.381,-0.051,-0.074,-0.375,-0.050,+0.042,-0.387,+0.030,-0.099,-0.357,-0.038,+0.126,-0.235,+0.136,-0.178,-0.170,+0.028,+1.514,-0.394,+3.913,-0.223,-0.045,-0.046,+14.875,-7.112,+27.297,-0.192,-0.035,-0.055,+0.076,+0.011,+0.031,-0.076,-0.011,-0.031,+0.130,-0.093,+0.082,-0.007,-0.113,+0.015,+0.136,-0.084,+0.078,+0.175,-0.122,+0.113
